,Source,Target,Weight,Syn
0,I1L,I2L,10,chemical
1,I1L,I3,3,chemical
2,I1L,I5,2,chemical
3,I1L,I6,1,chemical
4,I1L,M2L,3,chemical
5,I1L,M3L,8,chemical
6,I1L,M3R,2,chemical
7,I1L,MCL,2,chemical
8,I1L,MCR,2,chemical
9,I1L,MI,2,chemical
10,I1L,NSML,3,chemical
11,I1R,I2R,6,chemical
12,I1R,I3,1,chemical
13,I1R,I5,2,chemical
14,I1R,M1,1,chemical
15,I1R,M2L,1,chemical
16,I1R,M2R,3,chemical
17,I1R,M3L,1,chemical
18,I1R,M3R,6,chemical
19,I1R,MCL,3,chemical
20,I1R,MCR,4,chemical
21,I1R,MI,1,chemical
22,I1R,NSML,1,chemical
23,I1R,NSMR,2,chemical
24,I2L,I1L,2,chemical
25,I2L,I2R,3,chemical
26,I2L,I4,13,chemical
27,I2L,I5,2,chemical
28,I2L,M1,1,chemical
29,I2L,NSML,14,chemical
30,I2L,NSMR,24,chemical
31,I2R,I1R,1,chemical
32,I2R,I2L,3,chemical
33,I2R,I4,20,chemical
34,I2R,I5,2,chemical
35,I2R,M1,3,chemical
36,I2R,M2R,2,chemical
37,I2R,M3R,2,chemical
38,I2R,M4,3,chemical
39,I2R,MCL,1,chemical
40,I2R,NSML,34,chemical
41,I2R,NSMR,7,chemical
42,I3,I1L,1,chemical
43,I3,I5,2,chemical
44,I3,I6,1,chemical
45,I3,M1,2,chemical
46,I3,M2L,2,chemical
47,I3,M3L,2,chemical
48,I3,M3R,2,chemical
49,I3,M4,2,chemical
50,I3,MCL,1,chemical
51,I3,MCR,2,chemical
52,I3,MI,1,chemical
53,I3,NSMR,2,chemical
54,I4,I2R,7,chemical
55,I4,I5,2,chemical
56,I4,M2L,5,chemical
57,I4,M3L,6,chemical
58,I4,M3R,22,chemical
59,I4,MI,1,chemical
60,I4,NSML,8,chemical
61,I4,NSMR,15,chemical
62,I5,I1L,2,chemical
63,I5,I2L,3,chemical
64,I5,I2R,1,chemical
65,I5,I3,1,chemical
66,I5,I4,7,chemical
67,I5,M1,3,chemical
68,I5,M2L,4,chemical
69,I5,M3L,4,chemical
70,I5,M3R,2,chemical
71,I5,M4,19,chemical
72,I5,MI,4,chemical
73,I5,NSML,1,chemical
74,I5,NSMR,5,chemical
75,I6,I1R,1,chemical
76,I6,I2L,1,chemical
77,I6,I2R,4,chemical
78,I6,I3,12,chemical
79,I6,M3L,10,chemical
80,I6,M4,15,chemical
81,I6,NSML,24,chemical
82,I6,NSMR,23,chemical
83,M1,I2L,3,chemical
84,M1,I2R,2,chemical
85,M1,I3,8,chemical
86,M1,I4,1,chemical
87,M1,I5,2,chemical
88,M1,MI,6,chemical
89,M1,NSML,2,chemical
90,M2L,I3,2,chemical
91,M2L,I4,8,chemical
92,M2L,I5,2,chemical
93,M2L,M3L,3,chemical
94,M2L,M3R,1,chemical
95,M2R,I4,1,chemical
96,M2R,I5,3,chemical
97,M2R,M3L,2,chemical
98,M2R,M3R,1,chemical
99,M2R,NSMR,1,chemical
100,M3L,NSML,1,chemical
101,M3R,M4,2,chemical
102,M4,I4,5,chemical
103,M4,I5,1,chemical
104,M4,M2L,1,chemical
105,M4,M3L,1,chemical
106,M4,M4,15,chemical
107,M4,MCL,1,chemical
108,MI,I1L,1,chemical
109,MI,I3,2,chemical
110,MI,I4,1,chemical
111,MI,M1,7,chemical
112,MI,M2L,3,chemical
113,MI,M2R,2,chemical
114,MI,M3L,2,chemical
115,MI,MCL,3,chemical
116,MI,NSML,1,chemical
117,MI,NSMR,2,chemical
118,NSML,I4,1,chemical
119,NSML,M3L,21,chemical
120,NSML,M3R,1,chemical
121,NSML,M4,13,chemical
122,NSML,NSMR,7,chemical
123,NSMR,I2L,1,chemical
124,NSMR,I2R,1,chemical
125,NSMR,I4,3,chemical
126,NSMR,I6,4,chemical
127,NSMR,M3R,24,chemical
128,ADFL,ADLL,1,chemical
129,ADFL,AWBL,2,chemical
130,ADFL,AWCR,2,chemical
131,ADFL,AFDL,1,chemical
132,ADFL,URXL,1,chemical
133,ADFL,AUAL,12,chemical
134,ADFL,AIAL,2,chemical
135,ADFL,AIBL,2,chemical
136,ADFL,AIBR,1,chemical
137,ADFL,AIZL,39,chemical
138,ADFL,ADAL,2,chemical
139,ADFL,RIAL,46,chemical
140,ADFL,RIBL,4,chemical
141,ADFL,RIGL,4,chemical
142,ADFL,RIGR,1,chemical
143,ADFL,RIR,4,chemical
144,ADFL,RIVL,1,chemical
145,ADFL,SMBDL,1,chemical
146,ADFL,SMBVL,9,chemical
147,ADFL,SMDVL,1,chemical
148,ADFR,ADFR,1,chemical
149,ADFR,ASHR,6,chemical
150,ADFR,AWAR,1,chemical
151,ADFR,AWBR,4,chemical
152,ADFR,AWCR,1,chemical
153,ADFR,AFDR,1,chemical
154,ADFR,OLQVR,1,chemical
155,ADFR,BAGL,6,chemical
156,ADFR,URXR,10,chemical
157,ADFR,URYVR,2,chemical
158,ADFR,AUAR,9,chemical
159,ADFR,AIYR,2,chemical
160,ADFR,AIZR,37,chemical
161,ADFR,ADAR,4,chemical
162,ADFR,RIAR,61,chemical
163,ADFR,RIGR,24,chemical
164,ADFR,RIH,2,chemical
165,ADFR,RIR,7,chemical
166,ADFR,AVHL,1,chemical
167,ADFR,PVPR,1,chemical
168,ADFR,SMBDR,2,chemical
169,ADFR,SMBVR,19,chemical
170,ADLL,ASEL,1,chemical
171,ADLL,ASER,12,chemical
172,ADLL,ASGL,2,chemical
173,ADLL,ASHL,6,chemical
174,ADLL,AWAL,1,chemical
175,ADLL,AWBL,3,chemical
176,ADLL,AWCL,2,chemical
177,ADLL,OLQVL,2,chemical
178,ADLL,AIAL,19,chemical
179,ADLL,AIBL,26,chemical
180,ADLL,ADAL,1,chemical
181,ADLL,ALA,5,chemical
182,ADLL,RIAL,1,chemical
183,ADLL,RIGL,1,chemical
184,ADLL,RIR,1,chemical
185,ADLL,RIPL,3,chemical
186,ADLL,AVJL,3,chemical
187,ADLL,AVJR,9,chemical
188,ADLL,AVAL,9,chemical
189,ADLL,AVAR,5,chemical
190,ADLL,AVBL,12,chemical
191,ADLL,AVDL,4,chemical
192,ADLL,AVDR,15,chemical
193,ADLL,SMBVL,5,chemical
194,ADLR,ADLR,3,chemical
195,ADLR,ASER,2,chemical
196,ADLR,ASHR,4,chemical
197,ADLR,AWCR,7,chemical
198,ADLR,OLQVR,1,chemical
199,ADLR,OLLR,1,chemical
200,ADLR,CEPVR,1,chemical
201,ADLR,URXR,8,chemical
202,ADLR,AIAR,22,chemical
203,ADLR,AIBR,27,chemical
204,ADLR,ADAR,1,chemical
205,ADLR,RICL,1,chemical
206,ADLR,RICR,5,chemical
207,ADLR,RIFR,2,chemical
208,ADLR,URBR,6,chemical
209,ADLR,RIPR,2,chemical
210,ADLR,AVJL,2,chemical
211,ADLR,AVJR,3,chemical
212,ADLR,PVCL,3,chemical
213,ADLR,AVAR,8,chemical
214,ADLR,AVBL,3,chemical
215,ADLR,AVBR,7,chemical
216,ADLR,AVDL,26,chemical
