Psens,RI,active,activeG,activeNode,activeSG,c,hpV,rrp2rest,rrp2spike,surviveTime
0.1,0.15,5.0,5.0,10.0,2.0,1.0,-80.0,1010.0,3.0,50.0
0.1,0.15,2.0,4.0,13.0,2.0,1.0,-80.0,63.0,0.0,10.0
0.1,0.15,4.0,6.0,15.0,2.0,1.0,-80.0,226.0,104.0,50.0
0.1,0.15,5.0,2.0,2.0,1.0,1.0,-80.0,962.0,1.0,50.0
0.1,0.15,1.0,0.0,0.0,0.0,1.0,-80.0,38.0,0.0,7.0
0.1,0.15,4.0,4.0,0.0,0.0,1.0,-80.0,170.0,103.0,50.0
0.1,0.15,5.0,8.0,1.0,1.0,1.0,-80.0,952.0,4.0,50.0
0.1,0.15,0.0,0.0,0.0,0.0,1.0,-80.0,55.0,0.0,11.0
0.1,0.15,3.0,3.0,4.0,1.0,1.0,-80.0,98.0,1.0,21.0
0.1,0.15,6.0,4.0,7.0,1.0,1.0,-80.0,804.0,1.0,50.0
0.1,0.15,9.0,10.0,2.0,1.0,1.0,-80.0,182.0,114.0,50.0
0.1,0.15,4.0,3.0,8.0,2.0,1.0,-80.0,207.0,120.0,50.0
0.1,0.15,4.0,4.0,0.0,0.0,1.0,-80.0,929.0,1.0,50.0
0.1,0.15,1.0,0.0,0.0,0.0,1.0,-80.0,57.0,0.0,7.0
0.1,0.15,9.0,10.0,14.0,3.0,1.0,-80.0,784.0,3.0,50.0
0.1,0.15,5.0,5.0,10.0,1.0,1.0,-80.0,708.0,7.0,50.0
0.1,0.15,4.0,4.0,12.0,2.0,1.0,-80.0,903.0,1.0,50.0
0.1,0.15,6.0,13.0,27.0,7.0,1.0,-80.0,957.0,1.0,50.0
0.1,0.15,1.0,1.0,3.0,2.0,1.0,-80.0,51.0,0.0,8.0
0.1,0.15,2.0,2.0,0.0,0.0,1.0,-80.0,46.0,0.0,8.0
0.1,0.15,1.0,0.0,0.0,0.0,1.0,-80.0,68.0,0.0,8.0
0.1,0.15,3.0,3.0,0.0,0.0,1.0,-80.0,902.0,5.0,50.0
0.1,0.15,5.0,7.0,8.0,1.0,1.0,-80.0,958.0,1.0,50.0
0.1,0.15,0.0,0.0,0.0,0.0,1.0,-80.0,52.0,0.0,7.0
0.1,0.15,3.0,2.0,0.0,0.0,1.0,-80.0,166.0,113.0,50.0
0.1,0.15,1.0,1.0,0.0,0.0,1.0,-80.0,58.0,0.0,8.0
0.1,0.15,1.0,2.0,0.0,0.0,1.0,-80.0,66.0,0.0,19.0
0.1,0.15,2.0,3.0,11.0,2.0,1.0,-80.0,64.0,4.0,10.0
0.1,0.15,1.0,2.0,4.0,1.0,1.0,-80.0,46.0,0.0,10.0
0.1,0.15,2.0,1.0,0.0,0.0,1.0,-80.0,983.0,0.0,50.0
0.1,0.15,1.0,1.0,0.0,0.0,1.0,-80.0,56.0,0.0,7.0
0.1,0.15,0.0,0.0,0.0,0.0,1.0,-80.0,72.0,0.0,19.0
