RI,c,hpV,rrp2spikeRatio,surviveBinary
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.0,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-71.5,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.0,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-72.5,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.0,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-73.5,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.5,-74.0,0.0,0.0
0.05,0.7,-71.0,0.0,0.0
0.05,0.7,-71.0,0.0,0.0
0.05,0.7,-71.0,0.0,0.0
0.05,0.7,-71.0,0.0,0.0
0.05,0.7,-71.0,0.0,0.0
0.05,0.7,-71.0,0.0,0.0
