RI,c,hpV,rrp2rest,rrp2spike,surviveBinary
0.05,0.1,-71.0,16.0,0.0,4.0
0.05,0.1,-71.5,11.0,0.0,4.0
0.05,0.1,-72.0,15.0,0.0,4.0
0.05,0.1,-72.5,7.0,0.0,4.0
0.05,0.1,-73.0,22.0,0.0,4.0
0.05,0.1,-73.5,13.0,0.0,4.0
0.05,0.1,-74.0,17.0,0.0,4.0
0.05,0.1,-74.5,17.0,0.0,4.0
0.05,0.1,-75.0,18.0,0.0,4.0
0.05,0.1,-75.5,17.0,0.0,4.0
0.05,0.1,-76.0,17.0,0.0,4.0
0.05,0.1,-76.5,14.0,0.0,4.0
0.05,0.1,-77.0,14.0,0.0,4.0
0.05,0.1,-77.5,16.0,0.0,4.0
0.05,0.1,-78.0,25.0,0.0,4.0
0.05,0.1,-78.5,13.0,0.0,4.0
0.05,0.1,-79.0,16.0,0.0,4.0
0.05,0.1,-79.5,14.0,0.0,4.0
0.05,0.1,-80.0,18.0,0.0,4.0
0.05,0.1,-81.0,14.0,0.0,4.0
0.05,0.1,-82.0,12.0,0.0,4.0
0.05,0.1,-83.0,12.0,0.0,4.0
0.05,0.1,-84.0,16.0,0.0,4.0
0.05,0.1,-85.0,21.0,0.0,4.0
0.05,0.1,-86.0,16.0,0.0,4.0
0.05,0.1,-87.0,14.0,0.0,4.0
0.05,0.1,-88.0,16.0,0.0,4.0
0.05,0.1,-89.0,21.0,0.0,4.0
0.05,0.1,-90.0,12.0,0.0,4.0
0.05,0.1,-91.0,13.0,0.0,4.0
0.05,0.1,-92.0,11.0,0.0,4.0
0.05,0.1,-93.0,14.0,0.0,4.0
0.05,0.1,-94.0,13.0,0.0,4.0
0.05,0.1,-95.0,18.0,0.0,4.0
0.05,0.1,-96.0,17.0,0.0,4.0
0.05,0.1,-97.0,11.0,0.0,4.0
0.05,0.1,-98.0,16.0,0.0,4.0
0.05,0.1,-99.0,20.0,0.0,4.0
0.05,0.1,-100.0,13.0,0.0,4.0
0.05,0.1,-102.0,20.0,0.0,4.0
0.05,0.1,-104.0,18.0,0.0,4.0
0.05,0.1,-106.0,15.0,0.0,4.0
0.05,0.1,-108.0,20.0,0.0,4.0
0.05,0.1,-110.0,17.0,0.0,4.0
0.05,0.2,-71.0,20.0,0.0,4.0
0.05,0.2,-71.5,23.0,0.0,4.0
0.05,0.2,-72.0,15.0,0.0,4.0
0.05,0.2,-72.5,9.0,0.0,4.0
0.05,0.2,-73.0,17.0,0.0,4.0
0.05,0.2,-73.5,16.0,0.0,4.0
0.05,0.2,-74.0,15.0,0.0,4.0
0.05,0.2,-74.5,16.0,0.0,4.0
0.05,0.2,-75.0,14.0,0.0,4.0
0.05,0.2,-75.5,16.0,0.0,4.0
0.05,0.2,-76.0,14.0,0.0,4.0
0.05,0.2,-76.5,20.0,0.0,4.0
0.05,0.2,-77.0,20.0,0.0,4.0
0.05,0.2,-77.5,17.0,0.0,4.0
0.05,0.2,-78.0,12.0,0.0,4.0
0.05,0.2,-78.5,12.0,0.0,4.0
0.05,0.2,-79.0,15.0,0.0,4.0
0.05,0.2,-79.5,16.0,0.0,4.0
0.05,0.2,-80.0,9.0,0.0,4.0
0.05,0.2,-81.0,11.0,0.0,4.0
0.05,0.2,-82.0,21.0,0.0,4.0
0.05,0.2,-83.0,13.0,0.0,4.0
0.05,0.2,-84.0,7.0,0.0,4.0
0.05,0.2,-85.0,15.0,0.0,4.0
0.05,0.2,-86.0,20.0,0.0,4.0
0.05,0.2,-87.0,11.0,0.0,4.0
0.05,0.2,-88.0,19.0,0.0,4.0
0.05,0.2,-89.0,18.0,0.0,4.0
0.05,0.2,-90.0,19.0,0.0,4.0
0.05,0.2,-91.0,17.0,0.0,4.0
0.05,0.2,-92.0,12.0,0.0,4.0
0.05,0.2,-93.0,16.0,0.0,4.0
0.05,0.2,-94.0,19.0,0.0,4.0
0.05,0.2,-95.0,18.0,0.0,4.0
0.05,0.2,-96.0,14.0,0.0,4.0
0.05,0.2,-97.0,12.0,0.0,4.0
0.05,0.2,-98.0,13.0,0.0,4.0
0.05,0.2,-99.0,20.0,0.0,4.0
0.05,0.2,-100.0,15.0,0.0,4.0
0.05,0.2,-102.0,17.0,0.0,4.0
0.05,0.2,-104.0,12.0,0.0,4.0
0.05,0.2,-106.0,12.0,0.0,4.0
0.05,0.2,-108.0,10.0,0.0,4.0
0.05,0.2,-110.0,16.0,0.0,4.0
