RI,c,hpV,rrp2rest,rrp2spike,surviveTime
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,17.0,0.0,4.0
0.05,0.05,-71.0,27.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,24.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,19.0,0.0,4.0
0.05,0.05,-71.0,17.0,0.0,4.0
0.05,0.05,-71.0,16.0,0.0,4.0
0.05,0.05,-71.0,11.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,19.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,19.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,12.0,0.0,4.0
0.05,0.05,-71.0,19.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,12.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,10.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,12.0,0.0,4.0
0.05,0.05,-71.0,17.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,23.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,14.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,20.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,18.0,0.0,4.0
0.05,0.05,-71.0,17.0,0.0,4.0
0.05,0.05,-71.0,25.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,10.0,0.0,4.0
0.05,0.05,-71.0,17.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,13.0,0.0,4.0
0.05,0.05,-71.0,12.0,0.0,4.0
0.05,0.05,-71.0,11.0,0.0,4.0
0.05,0.05,-71.0,24.0,0.0,4.0
0.05,0.05,-71.0,16.0,0.0,4.0
0.05,0.05,-71.0,21.0,0.0,4.0
0.05,0.05,-71.0,16.0,0.0,4.0
0.05,0.05,-71.0,15.0,0.0,4.0
0.05,0.05,-71.0,17.0,0.0,4.0
