RI,c,hpV,rrp2rest,rrp2spike,surviveBinary
0.1,0.1,-80.0,35.0,0.0,0.0
0.1,0.1,-80.0,21.0,0.0,0.0
0.1,0.1,-80.0,25.0,0.0,0.0
0.1,0.1,-80.0,40.0,0.0,0.0
0.1,0.1,-80.0,31.0,0.0,0.0
0.1,0.1,-80.0,36.0,0.0,0.0
0.1,0.1,-80.0,27.0,0.0,0.0
0.1,0.1,-80.0,29.0,0.0,0.0
0.1,0.1,-80.0,25.0,0.0,0.0
0.1,0.1,-80.0,26.0,0.0,0.0
0.1,0.1,-80.0,36.0,0.0,0.0
0.1,0.1,-80.0,38.0,0.0,0.0
0.1,0.1,-80.0,36.0,0.0,0.0
0.1,0.1,-80.0,24.0,0.0,0.0
0.1,0.1,-80.0,29.0,0.0,0.0
0.1,0.1,-80.0,37.0,0.0,0.0
0.1,0.1,-80.0,35.0,0.0,0.0
0.1,0.1,-80.0,31.0,0.0,0.0
0.1,0.1,-80.0,26.0,0.0,0.0
0.1,0.1,-80.0,27.0,0.0,0.0
0.1,0.15,-80.0,27.0,0.0,0.0
0.1,0.15,-80.0,33.0,0.0,0.0
0.1,0.15,-80.0,45.0,0.0,0.0
0.1,0.15,-80.0,38.0,0.0,0.0
0.1,0.15,-80.0,27.0,0.0,0.0
0.1,0.15,-80.0,26.0,0.0,0.0
0.1,0.15,-80.0,25.0,0.0,0.0
0.1,0.15,-80.0,36.0,0.0,0.0
0.1,0.15,-80.0,23.0,0.0,0.0
0.1,0.15,-80.0,31.0,0.0,0.0
0.1,0.15,-80.0,16.0,0.0,0.0
0.1,0.15,-80.0,29.0,0.0,0.0
0.1,0.15,-80.0,45.0,0.0,0.0
0.1,0.15,-80.0,33.0,0.0,0.0
0.1,0.15,-80.0,29.0,0.0,0.0
0.1,0.15,-80.0,31.0,0.0,0.0
0.1,0.15,-80.0,22.0,0.0,0.0
0.1,0.15,-80.0,42.0,0.0,0.0
0.1,0.15,-80.0,26.0,0.0,0.0
0.1,0.15,-80.0,37.0,0.0,0.0
0.1,0.2,-80.0,36.0,0.0,0.0
0.1,0.2,-80.0,39.0,0.0,0.0
0.1,0.2,-80.0,29.0,0.0,0.0
0.1,0.2,-80.0,23.0,0.0,0.0
0.1,0.2,-80.0,37.0,0.0,0.0
0.1,0.2,-80.0,23.0,0.0,0.0
0.1,0.2,-80.0,38.0,0.0,0.0
0.1,0.2,-80.0,32.0,0.0,0.0
0.1,0.2,-80.0,27.0,0.0,0.0
0.1,0.2,-80.0,41.0,0.0,0.0
0.1,0.2,-80.0,32.0,0.0,0.0
0.1,0.2,-80.0,29.0,0.0,0.0
0.1,0.2,-80.0,32.0,0.0,0.0
0.1,0.2,-80.0,33.0,0.0,0.0
0.1,0.2,-80.0,24.0,0.0,0.0
0.1,0.2,-80.0,26.0,0.0,0.0
0.1,0.2,-80.0,34.0,0.0,0.0
0.1,0.2,-80.0,38.0,0.0,0.0
0.1,0.2,-80.0,34.0,0.0,0.0
0.1,0.2,-80.0,37.0,0.0,0.0
0.1,0.25,-80.0,24.0,0.0,0.0
0.1,0.25,-80.0,37.0,0.0,0.0
0.1,0.25,-80.0,33.0,0.0,0.0
0.1,0.25,-80.0,32.0,0.0,0.0
0.1,0.25,-80.0,26.0,0.0,0.0
0.1,0.25,-80.0,40.0,0.0,0.0
0.1,0.25,-80.0,32.0,0.0,0.0
0.1,0.25,-80.0,42.0,0.0,0.0
0.1,0.25,-80.0,23.0,0.0,0.0
0.1,0.25,-80.0,28.0,0.0,0.0
0.1,0.25,-80.0,32.0,0.0,0.0
0.1,0.25,-80.0,36.0,0.0,0.0
0.1,0.25,-80.0,21.0,0.0,0.0
0.1,0.25,-80.0,28.0,0.0,0.0
0.1,0.25,-80.0,22.0,0.0,0.0
0.1,0.25,-80.0,23.0,0.0,0.0
0.1,0.25,-80.0,28.0,0.0,0.0
0.1,0.25,-80.0,33.0,0.0,0.0
0.1,0.25,-80.0,36.0,0.0,0.0
0.1,0.25,-80.0,26.0,0.0,0.0
0.1,0.3,-80.0,30.0,0.0,0.0
0.1,0.3,-80.0,23.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
0.1,0.3,-80.0,31.0,0.0,0.0
0.1,0.3,-80.0,22.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
0.1,0.3,-80.0,34.0,0.0,0.0
0.1,0.3,-80.0,24.0,0.0,0.0
0.1,0.3,-80.0,25.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
0.1,0.3,-80.0,29.0,0.0,0.0
0.1,0.3,-80.0,24.0,0.0,0.0
0.1,0.3,-80.0,28.0,0.0,0.0
0.1,0.3,-80.0,26.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
0.1,0.3,-80.0,40.0,0.0,0.0
0.1,0.3,-80.0,37.0,0.0,0.0
0.1,0.3,-80.0,27.0,0.0,0.0
