cell_name,cell_type,group
ADEL,Sensory,1
ADER,Sensory,1
ADFL,Sensory,1
ADFR,Sensory,1
ADLL,Sensory,1
ADLR,Sensory,1
AFDL,Sensory,1
AFDR,Sensory,1
ALML,Sensory,1
ALMR,Sensory,1
ALNL,Sensory,1
ALNR,Sensory,1
AQR,Sensory,1
ASEL,Sensory,1
ASER,Sensory,1
ASGL,Sensory,1
ASGR,Sensory,1
ASHL,Sensory,1
ASHR,Sensory,1
ASIL,Sensory,1
ASIR,Sensory,1
ASJL,Sensory,1
ASJR,Sensory,1
ASKL,Sensory,1
ASKR,Sensory,1
AVM,Sensory,1
AWAL,Sensory,1
AWAR,Sensory,1
AWBL,Sensory,1
AWBR,Sensory,1
AWCL,Sensory,1
AWCR,Sensory,1
BAGL,Sensory,1
BAGR,Sensory,1
CEPDL,Sensory,1
CEPDR,Sensory,1
CEPVL,Sensory,1
CEPVR,Sensory,1
FLPL,Sensory,1
FLPR,Sensory,1
IL2DL,Sensory,1
IL2DR,Sensory,1
IL2L,Sensory,1
IL2R,Sensory,1
IL2VL,Sensory,1
IL2VR,Sensory,1
OLLL,Sensory,1
OLLR,Sensory,1
PDEL,Sensory,1
PDER,Sensory,1
PHAL,Sensory,1
PHAR,Sensory,1
PHBL,Sensory,1
PHBR,Sensory,1
PHCL,Sensory,1
PHCR,Sensory,1
PLML,Sensory,1
PLMR,Sensory,1
PLNL,Sensory,1
PLNR,Sensory,1
PQR,Sensory,1
PVDL,Sensory,1
PVDR,Sensory,1
PVM,Sensory,1
URYDL,Sensory,1
URYDR,Sensory,1
URYVL,Sensory,1
URYVR,Sensory,1
ALA,"Interneuron, Sensory",2
AVG,"Interneuron, Sensory",2
DVA,"Interneuron, Sensory",2
OLQDL,"Interneuron, Sensory",2
OLQDR,"Interneuron, Sensory",2
OLQVL,"Interneuron, Sensory",2
OLQVR,"Interneuron, Sensory",2
PVCL,"Interneuron, Sensory",2
PVCR,"Interneuron, Sensory",2
PVR,"Interneuron, Sensory",2
SDQL,"Interneuron, Sensory",2
SDQR,"Interneuron, Sensory",2
URXL,"Interneuron, Sensory",2
URXR,"Interneuron, Sensory",2
ADAL,Interneuron,3
ADAR,Interneuron,3
AIAL,Interneuron,3
AIAR,Interneuron,3
AIBL,Interneuron,3
AIBR,Interneuron,3
AIML,Interneuron,3
AIMR,Interneuron,3
AINL,Interneuron,3
AINR,Interneuron,3
AIYL,Interneuron,3
AIYR,Interneuron,3
AIZL,Interneuron,3
AIZR,Interneuron,3
AUAL,Interneuron,3
AUAR,Interneuron,3
AVAL,Interneuron,3
AVAR,Interneuron,3
AVBL,Interneuron,3
AVBR,Interneuron,3
AVDL,Interneuron,3
AVDR,Interneuron,3
AVEL,Interneuron,3
AVER,Interneuron,3
AVFL,Interneuron,3
AVFR,Interneuron,3
AVHL,Interneuron,3
AVHR,Interneuron,3
AVJL,Interneuron,3
AVJR,Interneuron,3
AVKL,Interneuron,3
AVKR,Interneuron,3
BDUL,Interneuron,3
BDUR,Interneuron,3
DVC,Interneuron,3
LUAL,Interneuron,3
LUAR,Interneuron,3
PVPL,Interneuron,3
PVPR,Interneuron,3
