from,to,connPhi,connPsi1,connPsi2,connWeight,connWxGC
I1L,I1L,-13374.0622496066,-1,-1,-28.0319185089397,-28.0319185089397
I1L,I1R,259.931991334026,1,1,0.270908754832164,0.270908754832164
I1L,M2R,54.9496711907996,1,1,1.01311617628015,1.01311617628015
I1L,M3L,-427.214132267045,-1,-1,-4.26500774673841,-4.26500774673841
I1L,M3R,-217.971387559342,-1,-1,-1.27921365599613,-1.27921365599613
I1L,M4,-192.664637137153,-1,-1,-4.44018061439219,-4.44018061439219
I1L,M5,-69.8148062566042,-1,-1,-8.43076050185258,-8.43076050185258
I1L,MCL,-812.918265681907,-1,-1,-2.34129607939804,-2.34129607939804
I1L,MCR,3493.27785693906,1,1,4.39115107534703,4.39115107534703
I1L,MI,540.969124792173,1,1,1.32047613602869,1.32047613602869
I1L,NSML,-274.175767587396,-1,-1,-0.392613316617461,-0.392613316617461
I1L,NSMR,-108.80692435421,-1,-1,-1.56658395654859,-1.56658395654859
I1L,I2L,-598.766650537596,-1,-1,-0.897105431945011,-0.897105431945011
I1L,I2R,-120.103377026466,-1,-1,-1.1785218203029,-1.1785218203029
I1L,I3,-214.201911341901,-1,-1,-1.55672849265505,-1.55672849265505
I1L,I4,-136.602856869223,-1,-1,-1.49444136828159,-1.49444136828159
I1L,I5,-224.479563845374,-1,-1,-2.92103062077306,-2.92103062077306
I1L,I6,-603.606075884813,-1,-1,-3.0493302921535,-3.0493302921535
I1L,M1,151.3743819709,1,1,2.44167876692127,2.44167876692127
I1L,M2L,-730.051975178996,-1,-1,-5.47810032255061,-5.47810032255061
I1R,I1L,69.4131217149952,1,1,0.506750582723305,0.506750582723305
I1R,I1R,-13290.1115273388,-1,-1,-16.4331446152387,-16.4331446152387
I1R,M2R,-208.473058122709,-1,-1,-1.38359813095582,-1.38359813095582
I1R,M3L,139.537306334607,1,1,0.491114496785671,0.491114496785671
I1R,M3R,-784.666230577381,-1,-1,-1.80706482346977,-1.80706482346977
I1R,M4,187.141753367194,1,1,1.33106571472558,1.33106571472558
I1R,M5,-29.5286837879725,-1,-1,-2.2423973136266,-2.2423973136266
I1R,MCL,-414.117174953193,-1,-1,-0.112553854642634,-0.112553854642634
I1R,MCR,1942.1737083253,1,1,3.06556791762626,3.06556791762626
I1R,MI,288.397551789483,1,1,0.0601118758545243,0.0601118758545243
I1R,NSML,-194.692890978466,-1,-1,-0.0897619126130542,-0.0897619126130542
I1R,NSMR,242.388635574811,1,1,0.33888087216189,0.33888087216189
I1R,I2L,94.5284911684867,1,1,1.63018189759706,1.63018189759706
I1R,I2R,-1026.79502677137,-1,-1,-0.83008415592259,-0.83008415592259
I1R,I3,159.984448582727,1,1,1.36704910062735,1.36704910062735
I1R,I4,359.762490862196,1,1,0.920482424664043,0.920482424664043
I1R,I5,252.667136507825,1,1,2.94120212086913,2.94120212086913
I1R,I6,308.490285739754,1,1,0.00428199470780792,0.00428199470780792
