from,to,connPhi,connPsi1,connPsi2,connWeight,connWxGC
I1L,I1L,-6434.75354932204,-1,-1,-112.475014750343,-112.475014750343
I1L,I1R,-141.551722914564,-1,-1,-4.14759034450438,-4.14759034450438
I1L,M2R,-85.0886440113682,-1,-1,-2.38972343811717,-2.38972343811717
I1L,M3L,4361.87725040232,1,1,6.12367995542515,6.12367995542515
I1L,M3R,-45.5972139322294,-1,-1,-2.15025064606936,-2.15025064606936
I1L,M4,46.1466125930515,1,1,11.6747979740671,11.6747979740671
I1L,M5,-10.8242433862329,-1,-1,-0.562714480670367,-0.562714480670367
I1L,MCL,3.36192756968921,0,0,2.21075368116092,0
I1L,MCR,99.6115709252117,1,1,3.22122217469746,3.22122217469746
I1L,MI,80.571567399395,1,1,2.98462710993496,2.98462710993496
I1L,NSML,410.428672221531,1,1,9.79853550292679,9.79853550292679
I1L,NSMR,17.6059389099455,1,1,4.38142482197538,4.38142482197538
I1L,I2L,121.850270602009,1,1,6.68337193792817,6.68337193792817
I1L,I2R,-42.546540251145,-1,-1,-4.20420290611007,-4.20420290611007
I1L,I3,-67.0199511790952,-1,-1,-1.46023159802368,-1.46023159802368
I1L,I4,51.2812184665422,1,1,3.76172748537337,3.76172748537337
I1L,I5,186.646527482333,1,1,10.7477439528817,10.7477439528817
I1L,I6,43.7853374894053,1,1,18.1518851628326,18.1518851628326
I1L,M1,-39.2912364995364,-1,-1,-5.14091447323369,-5.14091447323369
I1L,M2L,277.273434443084,1,1,6.70827460780858,6.70827460780858
I1R,I1L,63.3882163067751,1,1,8.99379202929233,8.99379202929233
I1R,I1R,-7074.19186060666,-1,-1,-43.028176954449,-43.028176954449
I1R,M2R,109.688411168134,1,1,3.60813493093783,3.60813493093783
I1R,M3L,-12.2145096004006,-0,-0,-2.15936815923642,-0
I1R,M3R,-55.6708514409456,-1,-1,-5.29851741388739,-5.29851741388739
I1R,M4,-25.9672200875916,-1,-1,-1.07304520588933,-1.07304520588933
I1R,M5,-4.3366841386021,-0,-0,-0.645397620686051,-0
I1R,MCL,-1.81011174868854,-0,-0,-1.08351985382091,-0
I1R,MCR,2325.29423708765,1,1,6.13575415519801,6.13575415519801
I1R,MI,57.2380300019136,1,1,1.46275976530303,1.46275976530303
I1R,NSML,50.7749042582936,1,1,2.24919274710516,2.24919274710516
I1R,NSMR,508.631900446719,1,1,11.2737697249911,11.2737697249911
I1R,I2L,29.0284806911664,1,1,12.5078619306137,12.5078619306137
I1R,I2R,793.570880516077,1,1,32.3008246460994,32.3008246460994
I1R,I3,55.8833120832328,1,1,5.59195505432731,5.59195505432731
I1R,I4,55.0232361464364,1,1,8.20211569248716,8.20211569248716
I1R,I5,19.6880264706019,1,1,14.6933392131683,14.6933392131683
I1R,I6,59.4426757853134,1,1,6.70742657677276,6.70742657677276
I1R,M1,57.6771576461488,1,1,13.5726547287173,13.5726547287173
I1R,M2L,8.55285374297227,0,0,2.78021257557135,0
M2R,I1L,55.6618348553188,1,1,1.13157667211922,1.13157667211922
M2R,I1R,78.911300471219,1,1,6.88364167210684,6.88364167210684
M2R,M2R,-11582.9817928939,-1,-1,-58.7398388155908,-58.7398388155908
M2R,M3L,-45.4609073890151,-1,-1,-4.46518563073422,-4.46518563073422
M2R,M3R,3993.29151908318,1,1,8.91532755553106,8.91532755553106
M2R,M4,43.3219189410393,1,1,5.99868700266915,5.99868700266915
M2R,M5,-449.87197374983,-1,-1,-9.23160754762522,-9.23160754762522
M2R,MCL,-9.00533235055718,-1,-1,-3.24328151675902,-3.24328151675902
M2R,MCR,2787.87397467238,1,1,9.45866046612841,9.45866046612841
M2R,MI,848.669298451291,1,1,1.09041384052767,1.09041384052767
M2R,NSML,50.9129330951964,1,1,1.99478041405032,1.99478041405032
M2R,NSMR,127.402921343625,1,1,0.867430647338912,0.867430647338912
M2R,I2L,-38.0396998268425,-1,-1,-2.57072571326126,-2.57072571326126
M2R,I2R,-125.037919491955,-1,-1,-0.237809961180234,-0.237809961180234
M2R,I3,103.831598460451,1,1,4.91101670646616,4.91101670646616
M2R,I4,30.7020003767361,1,1,7.753676463475,7.753676463475
M2R,I5,-151.630683058414,-1,-1,-0.00528394770466523,-0.00528394770466523
M2R,I6,29.5962498637987,1,1,2.75495404291755,2.75495404291755
M2R,M1,-114.296051145611,-1,-1,-1.17366921942885,-1.17366921942885
M2R,M2L,126.499882934753,1,1,0.47420268511231,0.47420268511231
M3L,I1L,-99.1471174767462,-1,-1,-7.01254748634173,-7.01254748634173
M3L,I1R,-102.719438475622,-1,-1,-1.36220064038157,-1.36220064038157
M3L,M2R,408.323335551212,1,1,2.80538655984538,2.80538655984538
M3L,M3L,-1820.9892366286,-1,-1,-15.8405216169874,-15.8405216169874
M3L,M3R,-453.901125501299,-1,-1,-3.4450298674513,-3.4450298674513
M3L,M4,-160.186507975455,-1,-1,-4.04656892080224,-4.04656892080224
M3L,M5,-620.699016449159,-1,-1,-7.75130383264234,-7.75130383264234
M3L,MCL,-6.22887666970109,-1,-1,-1.71689591601564,-1.71689591601564
M3L,MCR,-66.5815495574952,-1,-1,-0.986572980916892,-0.986572980916892
M3L,MI,-95.5699090781259,-1,-1,-3.27230755818945,-3.27230755818945
M3L,NSML,-296.161185139768,-1,-1,-1.69211222650678,-1.69211222650678
M3L,NSMR,-37.7512083512192,-1,-1,-4.54781758822885,-4.54781758822885
M3L,I2L,-75.3230483219945,-1,-1,-8.52184031144274,-8.52184031144274
M3L,I2R,-119.459605697364,-1,-1,-4.3227472981891,-4.3227472981891
M3L,I3,-109.203681313169,-1,-1,-1.06047784488587,-1.06047784488587
M3L,I4,-98.4008379633178,-1,-1,-7.31894001389558,-7.31894001389558
M3L,I5,-73.0859559263954,-1,-1,-5.93260389732617,-5.93260389732617
M3L,I6,-95.3056507414763,-1,-1,-6.836189021735,-6.836189021735
M3L,M1,-33.731783945098,-1,-1,-7.1770256493679,-7.1770256493679
M3L,M2L,-121.143251901089,-1,-1,-4.79502709365955,-4.79502709365955
M3R,I1L,-48.3351982144422,-1,-1,-1.80857850559296,-1.80857850559296
M3R,I1R,-162.925026104144,-1,-1,-1.55330628139935,-1.55330628139935
M3R,M2R,296.358626393877,1,1,1.42063704572917,1.42063704572917
M3R,M3L,-28.7115521608994,-1,-1,-0.613314162037974,-0.613314162037974
M3R,M3R,-1180.80024116316,-1,-1,-8.61332569498696,-8.61332569498696
M3R,M4,32.9758139479177,1,1,0.798296693237578,0.798296693237578
M3R,M5,41.7961356995422,1,1,2.85491018969416,2.85491018969416
M3R,MCL,0.152083120835414,-0,-0,-0.420407826367237,-0
M3R,MCR,-51.2077168173237,-1,-1,-0.337196803164123,-0.337196803164123
M3R,MI,-110.338045775432,-1,-1,-4.58775140725305,-4.58775140725305
M3R,NSML,-171.993970737934,-1,-1,-0.954171774823,-0.954171774823
M3R,NSMR,-354.5705040946,-1,-1,-0.283353410727574,-0.283353410727574
M3R,I2L,-25.8660499303223,-1,-1,-1.51367742184412,-1.51367742184412
M3R,I2R,-114.717355607678,-1,-1,-1.70944589930414,-1.70944589930414
M3R,I3,-191.506493721961,-1,-1,-3.76325387463676,-3.76325387463676
M3R,I4,-95.0561388470483,-1,-1,-1.40760761511883,-1.40760761511883
M3R,I5,-35.9389569815523,-1,-1,-2.68945073148657,-2.68945073148657
M3R,I6,-50.8277031785369,-1,-1,-3.87310696388976,-3.87310696388976
M3R,M1,-31.2216602967637,-1,-1,-3.91813050371241,-3.91813050371241
M3R,M2L,34.4489543424679,1,1,0.818568771055971,0.818568771055971
M4,I1L,100.397314984988,1,1,0.137358747734994,0.137358747734994
M4,I1R,67.5720643886643,1,1,0.507922132104423,0.507922132104423
M4,M2R,51.5690590917302,1,1,2.12233781391162,2.12233781391162
M4,M3L,-65.1796664195954,-1,-1,-4.34693215299788,-4.34693215299788
M4,M3R,726.485084013724,1,1,2.24093937873351,2.24093937873351
M4,M4,-6747.02206416282,-1,-1,-73.032192214708,-73.032192214708
M4,M5,10238.2665540411,1,1,24.2466501386403,24.2466501386403
M4,MCL,-0.578930393247902,-0,-0,-1.60512537524924,-0
M4,MCR,-21.420511235403,-1,-1,-0.317631585181683,-0.317631585181683
M4,MI,55.4951705507351,1,1,3.78747227639881,3.78747227639881
M4,NSML,1358.6056690121,1,1,3.11948079326797,3.11948079326797
M4,NSMR,-126.257204636171,-1,-1,-9.26023511550664,-9.26023511550664
M4,I2L,-65.3201707901553,-1,-1,-4.17657539852926,-4.17657539852926
M4,I2R,-73.8216030293793,-1,-1,-4.10002741732317,-4.10002741732317
M4,I3,178.295729180155,1,1,4.92165046159266,4.92165046159266
M4,I4,-65.6222696648761,-1,-1,-3.85489446913574,-3.85489446913574
M4,I5,-104.639072352153,-1,-1,-5.8663804312043,-5.8663804312043
M4,I6,-206.728565621761,-1,-1,-9.71138047945354,-9.71138047945354
M4,M1,-102.161608720864,-1,-1,-5.96096656596987,-5.96096656596987
M4,M2L,-212.41968496939,-1,-1,-2.01680447102422,-2.01680447102422
M5,I1L,-417.031595808922,-1,-1,-18.4917650642189,-18.4917650642189
M5,I1R,-312.688239568867,-1,-1,-9.52219673486535,-9.52219673486535
M5,M2R,-100.157194389697,-1,-1,-5.40387687529433,-5.40387687529433
M5,M3L,-187.447390666548,-1,-1,-4.46164526619629,-4.46164526619629
M5,M3R,-209.511813666786,-1,-1,-2.74590139695805,-2.74590139695805
M5,M4,-619.919556465644,-1,-1,-20.4405318244728,-20.4405318244728
M5,M5,-3076.14547296003,-1,-1,-47.5441324328637,-47.5441324328637
M5,MCL,-16.4901570378215,-1,-1,-5.22454749852067,-5.22454749852067
M5,MCR,-110.40105105916,-1,-1,-0.562942205716009,-0.562942205716009
M5,MI,-217.976172417895,-1,-1,-12.3742677869396,-12.3742677869396
M5,NSML,-1209.88917708066,-1,-1,-14.5128456735743,-14.5128456735743
M5,NSMR,-408.427353173694,-1,-1,-15.1927374625199,-15.1927374625199
M5,I2L,-188.496217531961,-1,-1,-22.0827811721575,-22.0827811721575
M5,I2R,-304.849847832419,-1,-1,-9.9240308505726,-9.9240308505726
M5,I3,-288.240188318206,-1,-1,-17.6027900501368,-17.6027900501368
M5,I4,-347.534711569735,-1,-1,-29.9418532315469,-29.9418532315469
M5,I5,-187.5489099884,-1,-1,-18.9913392043188,-18.9913392043188
M5,I6,-305.400554312681,-1,-1,-18.4143586928044,-18.4143586928044
M5,M1,-275.592999290959,-1,-1,-18.9720754531305,-18.9720754531305
M5,M2L,-1002.65132001458,-1,-1,-54.6125279292601,-54.6125279292601
MCL,I1L,359.930898804576,1,1,9.86845315865024,9.86845315865024
MCL,I1R,-114.915343351581,-1,-1,-1.24972725815826,-1.24972725815826
MCL,M2R,508.574864541731,1,1,3.4054165958684,3.4054165958684
MCL,M3L,47.3200282874859,1,1,2.93084331502235,2.93084331502235
MCL,M3R,54.3511194908806,1,1,1.55396913165641,1.55396913165641
MCL,M4,510.497695630807,1,1,6.87490207395622,6.87490207395622
MCL,M5,535.885380868739,1,1,8.26027432158381,8.26027432158381
MCL,MCL,-0.561890209947705,-0,-0,-0.076859043051516,-0
MCL,MCR,39.147049830588,1,1,1.83316204731769,1.83316204731769
MCL,MI,119.124461132915,1,1,5.85614856484536,5.85614856484536
MCL,NSML,273.687831640449,1,1,3.00672742927409,3.00672742927409
MCL,NSMR,103.929166465314,1,1,5.87866258314922,5.87866258314922
MCL,I2L,18.3484581752373,1,1,3.15264801891986,3.15264801891986
MCL,I2R,-44.4207874898611,-1,-1,-7.2505784255802,-7.2505784255802
MCL,I3,151.258171506736,1,1,2.74820429833315,2.74820429833315
MCL,I4,65.6762738756665,1,1,8.86293682821294,8.86293682821294
MCL,I5,54.4708389239443,1,1,2.26134095117446,2.26134095117446
MCL,I6,52.7709108419026,1,1,3.83890653567033,3.83890653567033
MCL,M1,-57.8266973357568,-1,-1,-0.775744826724625,-0.775744826724625
MCL,M2L,210.17287545656,1,1,8.50354355894534,8.50354355894534
MCR,I1L,-63.0884358941057,-1,-1,-1.00617364822639,-1.00617364822639
MCR,I1R,-288.57360854191,-1,-1,-8.80430301620957,-8.80430301620957
MCR,M2R,424.106526171681,1,1,3.74002329571663,3.74002329571663
MCR,M3L,-45.7686894973212,-1,-1,-1.03017566648348,-1.03017566648348
MCR,M3R,-70.6661076784294,-1,-1,-1.18946618557601,-1.18946618557601
MCR,M4,-181.939454241544,-1,-1,-0.192927561447955,-0.192927561447955
MCR,M5,-449.298353940604,-1,-1,-4.50584469594158,-4.50584469594158
MCR,MCL,-5.08417363547596,-0,-0,-0.212742298679778,-0
MCR,MCR,-8947.51470085315,-1,-1,-24.8990424531179,-24.8990424531179
MCR,MI,36.7455794896473,1,1,1.27695896454749,1.27695896454749
MCR,NSML,-34.2464285767537,-1,-1,-1.97591896291335,-1.97591896291335
MCR,NSMR,-41.8247753250653,-1,-1,-2.33426595621095,-2.33426595621095
MCR,I2L,13.1428063192034,-0,-0,-2.84190817594691,-0
MCR,I2R,-111.265599118211,-1,-1,-8.30216515979054,-8.30216515979054
MCR,I3,-18.185588978688,-1,-1,-0.849507497854306,-0.849507497854306
MCR,I4,-20.1072769085558,-1,-1,-1.24161212243145,-1.24161212243145
MCR,I5,-32.9225773799392,-1,-1,-5.89636644189893,-5.89636644189893
MCR,I6,-12.8627034379992,-0,-0,-2.77966657769834,-0
MCR,M1,-36.2337470583193,-1,-1,-5.08590873491031,-5.08590873491031
MCR,M2L,-45.4762051897364,-1,-1,-2.55435078411544,-2.55435078411544
MI,I1L,82.5823329519621,1,1,5.35278550892043,5.35278550892043
MI,I1R,36.1506811992222,1,1,8.78872051580933,8.78872051580933
MI,M2R,-910.953328473254,-1,-1,-1.9061216892585,-1.9061216892585
MI,M3L,-14.6095841021106,-1,-1,-4.01030935913658,-4.01030935913658
MI,M3R,-50.7490333834103,-1,-1,-2.47989010078094,-2.47989010078094
MI,M4,-6.03843242694211,-0,-0,-2.6878273944585,-0
MI,M5,-18.1647859258235,-1,-1,-2.09048860925514,-2.09048860925514
MI,MCL,5.9207951125627,1,1,1.0869701651958,1.0869701651958
MI,MCR,43.4942621689406,1,1,0.734935478121459,0.734935478121459
MI,MI,-6245.04253882991,-1,-1,-67.9311787868442,-67.9311787868442
MI,NSML,-15.5345649444089,-0,-0,-3.04221009158616,-0
MI,NSMR,-18.2202506766225,-1,-1,-0.00800069412051688,-0.00800069412051688
MI,I2L,27.5717559646878,1,1,10.485587144518,10.485587144518
MI,I2R,95.6993139625861,1,1,8.82949969908533,8.82949969908533
MI,I3,450.54487902183,1,1,18.2515126045796,18.2515126045796
MI,I4,27.413375262397,1,1,4.82834214018741,4.82834214018741
MI,I5,116.722124079371,1,1,9.70139424438803,9.70139424438803
MI,I6,39.8726359379766,1,1,9.82076343751979,9.82076343751979
MI,M1,521.669827109782,1,1,23.74706934107,23.74706934107
MI,M2L,31.9388652705138,1,1,2.86443893404893,2.86443893404893
NSML,I1L,361.901390309644,1,1,0.00542235852625811,0.00542235852625811
NSML,I1R,-106.769600818076,-1,-1,-1.48381210651864,-1.48381210651864
NSML,M2R,-48.1088220905667,-1,-1,-3.4597574874665,-3.4597574874665
NSML,M3L,354.244095809139,1,1,2.90835849382809,2.90835849382809
NSML,M3R,81.4318279283798,1,1,0.44505247890687,0.44505247890687
NSML,M4,-145.784328868186,-1,-1,-10.1106195460888,-10.1106195460888
NSML,M5,82.2532963756269,1,1,1.73609748094051,1.73609748094051
NSML,MCL,-5.36407843304187,-0,-0,-1.31655378266633,-0
NSML,MCR,17.1112370722731,0,0,1.47051402485148,0
NSML,MI,-198.405929772423,-1,-1,-1.32850162640424,-1.32850162640424
NSML,NSML,-6865.7872053194,-1,-1,-72.2567895071241,-72.2567895071241
NSML,NSMR,271.536271061682,1,1,5.48444527317406,5.48444527317406
NSML,I2L,-299.23804814172,-1,-1,-5.21232566926701,-5.21232566926701
NSML,I2R,-242.49051935857,-1,-1,-1.07501641356396,-1.07501641356396
NSML,I3,-27.5312309268206,-1,-1,-1.71585867738071,-1.71585867738071
NSML,I4,580.121927110089,1,1,1.65486045905577,1.65486045905577
NSML,I5,-65.8716160570807,-1,-1,-2.39852568717303,-2.39852568717303
NSML,I6,-521.759021964252,-1,-1,-7.36054716821623,-7.36054716821623
NSML,M1,-137.289870690656,-1,-1,-1.47578108052817,-1.47578108052817
NSML,M2L,25.8174010516091,1,1,0.585508369041831,0.585508369041831
NSMR,I1L,54.7716750898644,1,1,5.23065489512599,5.23065489512599
NSMR,I1R,231.789679941495,1,1,7.4976151099973,7.4976151099973
NSMR,M2R,309.02083395828,1,1,3.13158218205907,3.13158218205907
NSMR,M3L,4539.31584049682,1,1,11.0501966993832,11.0501966993832
NSMR,M3R,2625.2581043785,1,1,10.3240269976233,10.3240269976233
NSMR,M4,57.023552418038,1,1,4.8507128146383,4.8507128146383
NSMR,M5,27.2964626980736,1,1,3.94441556137839,3.94441556137839
NSMR,MCL,1.49400340376087,-0,-0,-0.525824214111554,-0
NSMR,MCR,-38.3267068322148,-1,-1,-5.86809798760531,-5.86809798760531
NSMR,MI,-248.506549626146,-1,-1,-1.1741077245224,-1.1741077245224
NSMR,NSML,817.711521890534,1,1,7.32720693166545,7.32720693166545
NSMR,NSMR,-7610.92512836301,-1,-1,-66.0646425259166,-66.0646425259166
NSMR,I2L,332.406573876699,1,1,1.64938229927544,1.64938229927544
NSMR,I2R,168.771551271321,1,1,3.90491633847899,3.90491633847899
NSMR,I3,160.540506508475,1,1,23.5434158033298,23.5434158033298
NSMR,I4,417.130775776747,1,1,10.3816642710537,10.3816642710537
NSMR,I5,-58.6023648137534,-1,-1,-2.88355224924546,-2.88355224924546
NSMR,I6,251.221149745628,1,1,5.52113603944141,5.52113603944141
NSMR,M1,-108.291454685112,-1,-1,-0.989582566554138,-0.989582566554138
NSMR,M2L,222.297464555243,1,1,12.7877560056935,12.7877560056935
I2L,I1L,387.554598743153,1,1,3.34537573408582,3.34537573408582
I2L,I1R,3.52067994722802,0,0,1.96214266335455,0
I2L,M2R,-19.3653499888669,-1,-1,-0.559614991421264,-0.559614991421264
I2L,M3L,30.0922303967473,1,1,2.09174131466503,2.09174131466503
