Source,Target,Weight,logWeight,Syn,exin
I1L,I2L,10,3.30258509299405,chemical,1
I1L,I3,3,2.09861228866811,chemical,1
I1L,I5,2,1.69314718055995,chemical,1
I1L,I6,1,1,chemical,1
I1L,M2L,3,2.09861228866811,chemical,1
I1L,M3L,8,3.07944154167984,chemical,1
I1L,M3R,2,1.69314718055995,chemical,1
I1L,MCL,2,1.69314718055995,chemical,1
I1L,MCR,2,1.69314718055995,chemical,1
I1L,MI,2,1.69314718055995,chemical,1
I1L,NSML,3,2.09861228866811,chemical,1
I1R,I2R,6,2.79175946922805,chemical,1
I1R,I3,1,1,chemical,1
I1R,I5,2,1.69314718055995,chemical,1
I1R,M1,1,1,chemical,1
I1R,M2L,1,1,chemical,1
I1R,M2R,3,2.09861228866811,chemical,1
I1R,M3L,1,1,chemical,1
I1R,M3R,6,2.79175946922805,chemical,1
I1R,MCL,3,2.09861228866811,chemical,1
I1R,MCR,4,2.38629436111989,chemical,1
I1R,MI,1,1,chemical,1
I1R,NSML,1,1,chemical,1
I1R,NSMR,2,1.69314718055995,chemical,1
I2L,I1L,2,1.69314718055995,chemical,1
I2L,I2R,3,2.09861228866811,chemical,1
I2L,I4,13,3.56494935746154,chemical,1
I2L,I5,2,1.69314718055995,chemical,1
I2L,M1,1,1,chemical,1
I2L,NSML,14,3.63905732961526,chemical,1
I2L,NSMR,24,4.17805383034795,chemical,1
I2R,I1R,1,1,chemical,1
I2R,I2L,3,2.09861228866811,chemical,1
I2R,I4,20,3.99573227355399,chemical,1
I2R,I5,2,1.69314718055995,chemical,1
I2R,M1,3,2.09861228866811,chemical,1
I2R,M2R,2,1.69314718055995,chemical,1
I2R,M3R,2,1.69314718055995,chemical,1
I2R,M4,3,2.09861228866811,chemical,1
I2R,MCL,1,1,chemical,1
I2R,NSML,34,4.52636052461616,chemical,1
I2R,NSMR,7,2.94591014905531,chemical,1
I3,I1L,1,1,chemical,1
I3,I5,2,1.69314718055995,chemical,1
I3,I6,1,1,chemical,1
I3,M1,2,1.69314718055995,chemical,1
I3,M2L,2,1.69314718055995,chemical,1
I3,M3L,2,1.69314718055995,chemical,1
I3,M3R,2,1.69314718055995,chemical,1
I3,M4,2,1.69314718055995,chemical,1
I3,MCL,1,1,chemical,1
I3,MCR,2,1.69314718055995,chemical,1
I3,MI,1,1,chemical,1
I3,NSMR,2,1.69314718055995,chemical,1
I4,I2R,7,2.94591014905531,chemical,1
I4,I5,2,1.69314718055995,chemical,1
I4,M2L,5,2.6094379124341,chemical,1
I4,M3L,6,2.79175946922805,chemical,1
I4,M3R,22,4.09104245335832,chemical,1
I4,MI,1,1,chemical,1
I4,NSML,8,3.07944154167984,chemical,1
I4,NSMR,15,3.70805020110221,chemical,1
I5,I1L,2,1.69314718055995,chemical,1
I5,I2L,3,2.09861228866811,chemical,1
I5,I2R,1,1,chemical,1
I5,I3,1,1,chemical,1
I5,I4,7,2.94591014905531,chemical,1
I5,M1,3,2.09861228866811,chemical,1
I5,M2L,4,2.38629436111989,chemical,1
I5,M3L,4,2.38629436111989,chemical,1
I5,M3R,2,1.69314718055995,chemical,1
I5,M4,19,3.94443897916644,chemical,1
I5,MI,4,2.38629436111989,chemical,1
I5,NSML,1,1,chemical,1
I5,NSMR,5,2.6094379124341,chemical,1
I6,I1R,1,1,chemical,1
I6,I2L,1,1,chemical,1
I6,I2R,4,2.38629436111989,chemical,1
I6,I3,12,3.484906649788,chemical,1
I6,M3L,10,3.30258509299405,chemical,1
I6,M4,15,3.70805020110221,chemical,1
I6,NSML,24,4.17805383034795,chemical,1
I6,NSMR,23,4.13549421592915,chemical,1
M1,I2L,3,2.09861228866811,chemical,1
M1,I2R,2,1.69314718055995,chemical,1
M1,I3,8,3.07944154167984,chemical,1
M1,I4,1,1,chemical,1
M1,I5,2,1.69314718055995,chemical,1
M1,MI,6,2.79175946922805,chemical,1
M1,NSML,2,1.69314718055995,chemical,1
M2L,I3,2,1.69314718055995,chemical,1
M2L,I4,8,3.07944154167984,chemical,1
M2L,I5,2,1.69314718055995,chemical,1
M2L,M3L,3,2.09861228866811,chemical,1
M2L,M3R,1,1,chemical,1
M2R,I4,1,1,chemical,1
M2R,I5,3,2.09861228866811,chemical,1
M2R,M3L,2,1.69314718055995,chemical,1
M2R,M3R,1,1,chemical,1
M2R,NSMR,1,1,chemical,1
M3L,NSML,1,1,chemical,1
M3R,M4,2,1.69314718055995,chemical,1
M4,I4,5,2.6094379124341,chemical,1
M4,I5,1,1,chemical,1
M4,M2L,1,1,chemical,1
M4,M3L,1,1,chemical,1
M4,M4,15,3.70805020110221,chemical,1
M4,MCL,1,1,chemical,1
MI,I1L,1,1,chemical,1
MI,I3,2,1.69314718055995,chemical,1
MI,I4,1,1,chemical,1
