from,to,connPhi,connPsi1,connPsi2
I1L,I1L,-13374.0622496066,-1,-1
I1L,I1R,259.931991334026,1,1
I1L,M2R,54.9496711907996,1,1
I1L,M3L,-427.214132267045,-1,-1
I1L,M3R,-217.971387559342,-1,-1
I1L,M4,-192.664637137153,-1,-1
I1L,M5,-69.8148062566042,-1,-1
I1L,MCL,-812.918265681907,-1,-1
I1L,MCR,3493.27785693906,1,1
I1L,MI,540.969124792173,1,1
I1L,NSML,-274.175767587396,-1,-1
I1L,NSMR,-108.80692435421,-1,-1
I1L,I2L,-598.766650537596,-1,-1
I1L,I2R,-120.103377026466,-1,-1
I1L,I3,-214.201911341901,-1,-1
I1L,I4,-136.602856869223,-1,-1
I1L,I5,-224.479563845374,-1,-1
I1L,I6,-603.606075884813,-1,-1
I1L,M1,151.3743819709,1,1
I1L,M2L,-730.051975178996,-1,-1
I1R,I1L,69.4131217149952,1,1
I1R,I1R,-13290.1115273388,-1,-1
I1R,M2R,-208.473058122709,-1,-1
I1R,M3L,139.537306334607,1,1
I1R,M3R,-784.666230577381,-1,-1
I1R,M4,187.141753367194,1,1
I1R,M5,-29.5286837879725,-1,-1
I1R,MCL,-414.117174953193,-1,-1
I1R,MCR,1942.1737083253,1,1
I1R,MI,288.397551789483,1,1
I1R,NSML,-194.692890978466,-1,-1
I1R,NSMR,242.388635574811,1,1
I1R,I2L,94.5284911684867,1,1
I1R,I2R,-1026.79502677137,-1,-1
I1R,I3,159.984448582727,1,1
I1R,I4,359.762490862196,1,1
I1R,I5,252.667136507825,1,1
I1R,I6,308.490285739754,1,1
I1R,M1,195.456288953905,1,1
I1R,M2L,241.104919316571,1,1
M2R,I1L,-136.89238214398,-1,-1
M2R,I1R,-585.170911433484,-1,-1
M2R,M2R,-14933.379353409,-1,-1
M2R,M3L,325.998117970255,1,1
M2R,M3R,422.844756379262,1,1
M2R,M4,497.262255186028,1,1
M2R,M5,-160.490946518679,-1,-1
M2R,MCL,423.317831938526,1,1
M2R,MCR,4125.47443217389,1,1
M2R,MI,1967.68141044005,1,1
M2R,NSML,-449.742214313139,-1,-1
M2R,NSMR,-361.31142068036,-1,-1
M2R,I2L,-216.486019718086,-1,-1
M2R,I2R,209.567212884154,1,1
M2R,I3,-154.493358066295,-1,-1
M2R,I4,580.792880988114,1,1
M2R,I5,389.451382181716,1,1
M2R,I6,-56.5063826723781,-1,-1
M2R,M1,636.514546792612,1,1
M2R,M2L,-552.204650538295,-1,-1
M3L,I1L,1806.6409022568,1,1
M3L,I1R,-31.9167604026843,-1,-1
M3L,M2R,-23.5398476833216,-1,-1
M3L,M3L,-7220.94094707295,-1,-1
M3L,M3R,51.6707171159105,1,1
M3L,M4,38.2386407016438,1,1
M3L,M5,14.866648617314,1,1
M3L,MCL,82.3776764392933,1,1
M3L,MCR,84.6757095541579,1,1
M3L,MI,52.1700846915373,1,1
M3L,NSML,43.2923351171085,1,1
M3L,NSMR,571.348036700263,1,1
M3L,I2L,82.8808085962919,1,1
M3L,I2R,42.4635538929651,1,1
M3L,I3,45.352155128081,1,1
M3L,I4,46.2559072572867,1,1
M3L,I5,-51.4200031874916,-1,-1
M3L,I6,111.548949615004,1,1
M3L,M1,40.231736935466,1,1
M3L,M2L,111.367323966737,1,1
M3R,I1L,14.174747902116,1,1
M3R,I1R,58.3878036078713,1,1
M3R,M2R,525.087756124958,1,1
M3R,M3L,-33.0837386097774,-1,-1
M3R,M3R,-9063.21306743411,-1,-1
M3R,M4,-83.7282100520488,-1,-1
M3R,M5,15.8029651211025,1,1
M3R,MCL,-29.0172298884463,-1,-1
M3R,MCR,-36.2377996407376,-1,-1
M3R,MI,-97.2556516125405,-1,-1
M3R,NSML,-41.1566185312367,-1,-1
M3R,NSMR,855.23361448373,1,1
M3R,I2L,-31.9402318446992,-1,-1
M3R,I2R,75.9347904225542,1,1
M3R,I3,-36.0730153747772,-1,-1
M3R,I4,54.4217518924388,1,1
M3R,I5,-28.7856444795852,-1,-1
M3R,I6,45.5816810677643,1,1
M3R,M1,50.2623812689199,1,1
M3R,M2L,-34.2233842515907,-1,-1
M4,I1L,27.0839494745069,1,1
M4,I1R,-64.2858690509456,-1,-1
M4,M2R,62.1071302516466,1,1
M4,M3L,86.6708873602365,1,1
M4,M3R,66.5582729915677,1,1
M4,M4,-10731.4307650204,-1,-1
M4,M5,4706.63547476609,1,1
M4,MCL,-193.100668780527,-1,-1
M4,MCR,-36.8213597456815,-1,-1
M4,MI,171.225315073676,1,1
M4,NSML,36.8831620463625,1,1
M4,NSMR,48.5303005011228,1,1
M4,I2L,38.0376164938043,1,1
M4,I2R,93.6462624626838,1,1
M4,I3,133.370728494012,1,1
M4,I4,94.4455985936283,1,1
M4,I5,51.3240074550249,1,1
M4,I6,2933.53838915434,1,1
M4,M1,50.5454327246607,1,1
M4,M2L,452.601031165648,1,1
M5,I1L,-636.769206022467,-1,-1
M5,I1R,-227.776006543216,-1,-1
M5,M2R,-490.307896747117,-1,-1
M5,M3L,-860.938523348092,-1,-1
M5,M3R,-783.946823064922,-1,-1
M5,M4,-1535.30463280495,-1,-1
M5,M5,-5119.21535211143,-1,-1
M5,MCL,-719.97893864548,-1,-1
M5,MCR,154.41302136231,1,1
M5,MI,-1429.86948646859,-1,-1
M5,NSML,-753.635878495787,-1,-1
M5,NSMR,-811.108716082434,-1,-1
M5,I2L,-819.193804102912,-1,-1
M5,I2R,-791.568852128472,-1,-1
M5,I3,-747.33587454973,-1,-1
M5,I4,-1058.63585893825,-1,-1
M5,I5,-582.989466568228,-1,-1
M5,I6,-458.299286726497,-1,-1
M5,M1,-907.142723356163,-1,-1
M5,M2L,-1400.66140301764,-1,-1
MCL,I1L,50.803256511459,1,1
MCL,I1R,-57.3363615950984,-1,-1
MCL,M2R,48.7651440968184,1,1
MCL,M3L,-10.6034217097858,-0,-0
MCL,M3R,-32.5703246333724,-1,-1
MCL,M4,-27.7547180920483,-1,-1
MCL,M5,23.5385476172181,1,1
MCL,MCL,-4652.75021444823,-1,-1
MCL,MCR,-31.1755878257027,-1,-1
MCL,MI,64.2849940871001,1,1
MCL,NSML,-27.4560725832143,-1,-1
MCL,NSMR,40.1645263243536,1,1
MCL,I2L,66.0763967177136,1,1
MCL,I2R,-50.708719916609,-1,-1
MCL,I3,64.5411606816397,1,1
MCL,I4,-41.5969843363728,-1,-1
MCL,I5,53.6438114492448,1,1
MCL,I6,29.4747896094777,1,1
MCL,M1,47.7617847993424,1,1
MCL,M2L,444.151800415042,1,1
MCR,I1L,-159.077637930899,-1,-1
MCR,I1R,4089.52576335578,1,1
MCR,M2R,424.903410577743,1,1
MCR,M3L,-31.5695350439109,-1,-1
MCR,M3R,-205.795415241411,-1,-1
MCR,M4,39.7352646194868,1,1
MCR,M5,18.4148915896245,1,1
MCR,MCL,-404.32951868192,-1,-1
MCR,MCR,-14826.1686799045,-1,-1
MCR,MI,-272.664396014456,-1,-1
MCR,NSML,-45.3861025658425,-1,-1
MCR,NSMR,-42.4689916466832,-1,-1
MCR,I2L,-146.295029707231,-1,-1
MCR,I2R,-332.894785924094,-1,-1
MCR,I3,-39.1442976431899,-1,-1
MCR,I4,-63.7248571518185,-1,-1
MCR,I5,-215.630624932093,-1,-1
MCR,I6,79.641246990459,1,1
MCR,M1,-68.5144860418477,-1,-1
MCR,M2L,-212.867232809567,-1,-1
MI,I1L,418.223530660023,1,1
MI,I1R,-115.265962203801,-1,-1
MI,M2R,2814.99116049159,1,1
MI,M3L,45.2953002926824,1,1
MI,M3R,64.3226896505403,1,1
MI,M4,44.1394939222982,1,1
MI,M5,28.6857118258037,1,1
MI,MCL,2768.6664115023,1,1
MI,MCR,237.656385667604,1,1
MI,MI,-9900.236156661,-1,-1
MI,NSML,29.9627705074618,1,1
MI,NSMR,38.7342671472252,1,1
MI,I2L,128.115962544362,1,1
MI,I2R,78.6650020279521,1,1
MI,I3,-466.475533936014,-1,-1
MI,I4,-82.0444017152622,-1,-1
MI,I5,93.2290412217844,1,1
MI,I6,120.288849348184,1,1
MI,M1,1297.0909657005,1,1
MI,M2L,890.090702615229,1,1
NSML,I1L,1793.10672580538,1,1
NSML,I1R,-52.5024591810579,-1,-1
NSML,M2R,-42.2332343305352,-1,-1
NSML,M3L,82.8343349489714,1,1
NSML,M3R,53.988286837106,1,1
NSML,M4,186.105769288747,1,1
NSML,M5,-22.3923398173467,-1,-1
NSML,MCL,-32.7255806486319,-1,-1
NSML,MCR,-48.4677908124577,-1,-1
NSML,MI,-58.3496884559099,-1,-1
NSML,NSML,-7495.04965627056,-1,-1
NSML,NSMR,865.924704282357,1,1
NSML,I2L,52.1059831150669,1,1
NSML,I2R,-14.9440207675507,-0,-0
NSML,I3,32.229323157846,1,1
NSML,I4,39.6759010202559,1,1
NSML,I5,-61.2227556489015,-1,-1
NSML,I6,134.90399210316,1,1
NSML,M1,-26.4682279610624,-1,-1
NSML,M2L,63.7354119809552,1,1
NSMR,I1L,-28.755045298305,-1,-1
NSMR,I1R,2323.20802833347,1,1
NSMR,M2R,77.1557262873594,1,1
NSMR,M3L,29.9352928610988,1,1
NSMR,M3R,298.998942892807,1,1
NSMR,M4,67.2673741554308,1,1
NSMR,M5,-33.6179980989214,-1,-1
NSMR,MCL,154.047722199444,1,1
NSMR,MCR,-136.484736126407,-1,-1
NSMR,MI,50.8954724815012,1,1
NSMR,NSML,79.979494933641,1,1
NSMR,NSMR,-15924.9250455688,-1,-1
NSMR,I2L,-174.09007904934,-1,-1
NSMR,I2R,295.083833707955,1,1
NSMR,I3,-39.7369803871406,-1,-1
NSMR,I4,113.175521843546,1,1
NSMR,I5,55.8643246570227,1,1
NSMR,I6,-3427.04343266769,-1,-1
NSMR,M1,77.7749564150035,1,1
NSMR,M2L,72.7509860440314,1,1
I2L,I1L,3897.20768010173,1,1
I2L,I1R,-60.0448794067561,-1,-1
I2L,M2R,61.0483677123557,1,1
I2L,M3L,134.540308921201,1,1
I2L,M3R,34.1437768616634,1,1
I2L,M4,-51.1788661357405,-1,-1
I2L,M5,18.6446404180531,1,1
I2L,MCL,143.455208621664,1,1
I2L,MCR,-113.107279732816,-1,-1
I2L,MI,136.987908623954,1,1
I2L,NSML,-170.403933187406,-1,-1
I2L,NSMR,-109.178877815719,-1,-1
I2L,I2L,-8021.40406665319,-1,-1
I2L,I2R,493.214353530711,1,1
I2L,I3,-104.544368294532,-1,-1
I2L,I4,-305.847515191624,-1,-1
I2L,I5,-307.126552282971,-1,-1
I2L,I6,58.0124216260647,1,1
I2L,M1,193.914724538097,1,1
I2L,M2L,399.089699288865,1,1
I2R,I1L,-78.2238031404886,-1,-1
I2R,I1R,1520.0938697971,1,1
I2R,M2R,2843.32998737451,1,1
I2R,M3L,50.5575938308957,1,1
I2R,M3R,150.935683783633,1,1
I2R,M4,214.798838730496,1,1
I2R,M5,-30.8201789079804,-1,-1
I2R,MCL,-164.89458186278,-1,-1
I2R,MCR,519.442848505747,1,1
I2R,MI,-199.0086827988,-1,-1
I2R,NSML,319.492117187545,1,1
I2R,NSMR,949.715188837326,1,1
I2R,I2L,-500.934275367739,-1,-1
I2R,I2R,-9587.73552899823,-1,-1
I2R,I3,26.6473183890375,1,1
I2R,I4,365.420088483379,1,1
I2R,I5,335.308004775483,1,1
I2R,I6,32.4341368589903,1,1
I2R,M1,948.312881545146,1,1
I2R,M2L,135.730356053838,1,1
I3,I1L,484.276934085419,1,1
I3,I1R,235.012661957371,1,1
I3,M2R,93.4581771148805,1,1
I3,M3L,82.0630496711383,1,1
I3,M3R,95.302055042177,1,1
I3,M4,112.719855865045,1,1
I3,M5,23.2060380136381,1,1
I3,MCL,212.677013269316,1,1
I3,MCR,-390.380691674687,-1,-1
I3,MI,-438.817999853376,-1,-1
I3,NSML,31.0648211192329,1,1
I3,NSMR,46.7650308301763,1,1
I3,I2L,51.5039647669873,1,1
I3,I2R,64.9197913364769,1,1
I3,I3,-6378.22100346971,-1,-1
I3,I4,32.7298261127444,1,1
I3,I5,264.526730452435,1,1
I3,I6,1965.32378775145,1,1
I3,M1,526.13483773468,1,1
I3,M2L,364.05240133046,1,1
I4,I1L,-62.5800452778476,-1,-1
I4,I1R,-79.052579216117,-1,-1
I4,M2R,1267.56947827484,1,1
I4,M3L,132.621092292547,1,1
I4,M3R,327.742595829102,1,1
I4,M4,259.336272392195,1,1
I4,M5,9.44033424362453,0,0
I4,MCL,-58.9938833414853,-1,-1
I4,MCR,102.951843837316,1,1
I4,MI,249.29397911361,1,1
I4,NSML,164.84665692114,1,1
I4,NSMR,148.200147412323,1,1
I4,I2L,166.164496043482,1,1
I4,I2R,571.346559440492,1,1
I4,I3,-52.1875842139507,-1,-1
I4,I4,-9510.15796463508,-1,-1
I4,I5,174.728502687582,1,1
I4,I6,33.9603943043458,1,1
I4,M1,68.2308835280692,1,1
I4,M2L,715.73203225929,1,1
I5,I1L,642.650190485174,1,1
I5,I1R,-41.105061857721,-1,-1
I5,M2R,785.340886593382,1,1
I5,M3L,160.526448132478,1,1
I5,M3R,-84.568903688034,-1,-1
I5,M4,247.695461954528,1,1
I5,M5,5010.72106942069,1,1
I5,MCL,-158.736735753864,-1,-1
I5,MCR,260.812753115002,1,1
I5,MI,-696.829147608863,-1,-1
I5,NSML,93.3819900795079,1,1
I5,NSMR,88.5498792518592,1,1
I5,I2L,376.376502307116,1,1
I5,I2R,-161.411310859588,-1,-1
I5,I3,67.0527629855151,1,1
I5,I4,-241.595270475067,-1,-1
I5,I5,-5662.26809562103,-1,-1
I5,I6,57.444454599512,1,1
I5,M1,-363.163380401431,-1,-1
I5,M2L,1319.19421171382,1,1
I6,I1L,36.7376333259999,1,1
I6,I1R,964.835197396009,1,1
I6,M2R,-90.2378627560065,-1,-1
I6,M3L,-165.977265606185,-1,-1
I6,M3R,-81.6479956506264,-1,-1
I6,M4,891.518849812431,1,1
I6,M5,-134.778575597466,-1,-1
I6,MCL,-66.0476277922826,-1,-1
I6,MCR,35.2711887559199,1,1
I6,MI,66.7518778114663,1,1
I6,NSML,-173.753168965764,-1,-1
I6,NSMR,-125.396884410422,-1,-1
I6,I2L,-220.246144953013,-1,-1
I6,I2R,-352.420411719071,-1,-1
I6,I3,-718.714231829064,-1,-1
I6,I4,-27.024531334343,-1,-1
I6,I5,-87.3226093252779,-1,-1
I6,I6,-8482.09706267874,-1,-1
I6,M1,-56.3250956038228,-1,-1
I6,M2L,-113.107328625822,-1,-1
M1,I1L,156.210453517469,1,1
M1,I1R,45.3556358866772,1,1
M1,M2R,200.676602663896,1,1
M1,M3L,-29.6711103905636,-1,-1
M1,M3R,-43.9623501500846,-1,-1
M1,M4,24.4403958160456,1,1
M1,M5,-14.231320842962,-1,-1
M1,MCL,114.107242004447,1,1
M1,MCR,46.0749631876897,1,1
M1,MI,1959.76960196608,1,1
M1,NSML,69.5296534263289,1,1
M1,NSMR,-35.0912818014913,-1,-1
M1,I2L,1167.30613463372,1,1
M1,I2R,664.40602325281,1,1
M1,I3,2321.41327621682,1,1
M1,I4,71.8667458276987,1,1
M1,I5,471.538363250971,1,1
M1,I6,56.6467347544512,1,1
M1,M1,-7803.10156514285,-1,-1
M1,M2L,90.9511037939483,1,1
M2L,I1L,-27.9077887124458,-1,-1
M2L,I1R,-29.6545388297309,-1,-1
M2L,M2R,-40.3423647637646,-1,-1
M2L,M3L,105.007971453238,1,1
M2L,M3R,-57.3994813834779,-1,-1
M2L,M4,191.126194685415,1,1
M2L,M5,-47.3624264887335,-1,-1
M2L,MCL,350.816957357696,1,1
M2L,MCR,26.8075978865163,1,1
M2L,MI,58.7659372169946,1,1
M2L,NSML,-17.9691659682267,-1,-1
M2L,NSMR,32.1524952060226,1,1
M2L,I2L,-58.0409166820846,-1,-1
M2L,I2R,52.575254318057,1,1
M2L,I3,-129.045906351086,-1,-1
M2L,I4,271.70661014375,1,1
M2L,I5,353.285084032581,1,1
M2L,I6,-44.8805198033951,-1,-1
M2L,M1,-37.0101597141329,-1,-1
M2L,M2L,-12697.5363727972,-1,-1
