Source,Target,Weight,logWeight,Syn
I1L,I2L,10,3.30258509299405,chemical
I1L,I3,3,2.09861228866811,chemical
I1L,I5,2,1.69314718055995,chemical
I1L,I6,1,1,chemical
I1L,M2L,3,2.09861228866811,chemical
I1L,M3L,8,3.07944154167984,chemical
I1L,M3R,2,1.69314718055995,chemical
I1L,MCL,2,1.69314718055995,chemical
I1L,MCR,2,1.69314718055995,chemical
I1L,MI,2,1.69314718055995,chemical
I1L,NSML,3,2.09861228866811,chemical
I1R,I2R,6,2.79175946922805,chemical
I1R,I3,1,1,chemical
I1R,I5,2,1.69314718055995,chemical
I1R,M1,1,1,chemical
I1R,M2L,1,1,chemical
I1R,M2R,3,2.09861228866811,chemical
I1R,M3L,1,1,chemical
I1R,M3R,6,2.79175946922805,chemical
I1R,MCL,3,2.09861228866811,chemical
I1R,MCR,4,2.38629436111989,chemical
I1R,MI,1,1,chemical
I1R,NSML,1,1,chemical
I1R,NSMR,2,1.69314718055995,chemical
I2L,I1L,2,1.69314718055995,chemical
I2L,I2R,3,2.09861228866811,chemical
I2L,I4,13,3.56494935746154,chemical
I2L,I5,2,1.69314718055995,chemical
I2L,M1,1,1,chemical
I2L,NSML,14,3.63905732961526,chemical
I2L,NSMR,24,4.17805383034795,chemical
I2R,I1R,1,1,chemical
I2R,I2L,3,2.09861228866811,chemical
I2R,I4,20,3.99573227355399,chemical
I2R,I5,2,1.69314718055995,chemical
I2R,M1,3,2.09861228866811,chemical
I2R,M2R,2,1.69314718055995,chemical
I2R,M3R,2,1.69314718055995,chemical
I2R,M4,3,2.09861228866811,chemical
I2R,MCL,1,1,chemical
I2R,NSML,34,4.52636052461616,chemical
I2R,NSMR,7,2.94591014905531,chemical
I3,I1L,1,1,chemical
I3,I5,2,1.69314718055995,chemical
I3,I6,1,1,chemical
I3,M1,2,1.69314718055995,chemical
I3,M2L,2,1.69314718055995,chemical
I3,M3L,2,1.69314718055995,chemical
I3,M3R,2,1.69314718055995,chemical
I3,M4,2,1.69314718055995,chemical
I3,MCL,1,1,chemical
I3,MCR,2,1.69314718055995,chemical
I3,MI,1,1,chemical
I3,NSMR,2,1.69314718055995,chemical
I4,I2R,7,2.94591014905531,chemical
I4,I5,2,1.69314718055995,chemical
I4,M2L,5,2.6094379124341,chemical
I4,M3L,6,2.79175946922805,chemical
I4,M3R,22,4.09104245335832,chemical
I4,MI,1,1,chemical
I4,NSML,8,3.07944154167984,chemical
I4,NSMR,15,3.70805020110221,chemical
I5,I1L,2,1.69314718055995,chemical
I5,I2L,3,2.09861228866811,chemical
I5,I2R,1,1,chemical
I5,I3,1,1,chemical
I5,I4,7,2.94591014905531,chemical
I5,M1,3,2.09861228866811,chemical
I5,M2L,4,2.38629436111989,chemical
I5,M3L,4,2.38629436111989,chemical
I5,M3R,2,1.69314718055995,chemical
I5,M4,19,3.94443897916644,chemical
I5,MI,4,2.38629436111989,chemical
I5,NSML,1,1,chemical
I5,NSMR,5,2.6094379124341,chemical
I6,I1R,1,1,chemical
I6,I2L,1,1,chemical
I6,I2R,4,2.38629436111989,chemical
I6,I3,12,3.484906649788,chemical
I6,M3L,10,3.30258509299405,chemical
I6,M4,15,3.70805020110221,chemical
I6,NSML,24,4.17805383034795,chemical
I6,NSMR,23,4.13549421592915,chemical
M1,I2L,3,2.09861228866811,chemical
M1,I2R,2,1.69314718055995,chemical
M1,I3,8,3.07944154167984,chemical
M1,I4,1,1,chemical
M1,I5,2,1.69314718055995,chemical
M1,MI,6,2.79175946922805,chemical
M1,NSML,2,1.69314718055995,chemical
M2L,I3,2,1.69314718055995,chemical
M2L,I4,8,3.07944154167984,chemical
M2L,I5,2,1.69314718055995,chemical
M2L,M3L,3,2.09861228866811,chemical
M2L,M3R,1,1,chemical
M2R,I4,1,1,chemical
M2R,I5,3,2.09861228866811,chemical
M2R,M3L,2,1.69314718055995,chemical
M2R,M3R,1,1,chemical
M2R,NSMR,1,1,chemical
M3L,NSML,1,1,chemical
M3R,M4,2,1.69314718055995,chemical
M4,I4,5,2.6094379124341,chemical
M4,I5,1,1,chemical
M4,M2L,1,1,chemical
M4,M3L,1,1,chemical
M4,M4,15,3.70805020110221,chemical
M4,MCL,1,1,chemical
MI,I1L,1,1,chemical
MI,I3,2,1.69314718055995,chemical
MI,I4,1,1,chemical
MI,M1,7,2.94591014905531,chemical
MI,M2L,3,2.09861228866811,chemical
MI,M2R,2,1.69314718055995,chemical
MI,M3L,2,1.69314718055995,chemical
MI,MCL,3,2.09861228866811,chemical
MI,NSML,1,1,chemical
MI,NSMR,2,1.69314718055995,chemical
NSML,I4,1,1,chemical
NSML,M3L,21,4.04452243772342,chemical
NSML,M3R,1,1,chemical
NSML,M4,13,3.56494935746154,chemical
NSML,NSMR,7,2.94591014905531,chemical
NSMR,I2L,1,1,chemical
NSMR,I2R,1,1,chemical
NSMR,I4,3,2.09861228866811,chemical
NSMR,I6,4,2.38629436111989,chemical
NSMR,M3R,24,4.17805383034795,chemical
