Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.3,0.4,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,148.0,0.0,48.0,4.0,2.0,16.0,4.0,50.0
0.5,0.3,0.4,0.4,125.0,0.0,59.0,4.0,1.0,2.0,1.0,50.0
0.5,0.3,0.4,0.4,129.0,0.0,51.0,3.0,1.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,148.0,0.0,57.0,6.0,1.0,5.0,1.0,50.0
0.5,0.3,0.4,0.4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0
0.5,0.3,0.4,0.4,152.0,0.0,59.0,5.0,2.0,8.0,2.0,50.0
0.5,0.3,0.4,0.4,127.0,0.0,58.0,3.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,3.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.4,104.0,0.0,49.0,3.0,1.0,2.0,1.0,50.0
0.5,0.3,0.4,0.4,138.0,0.0,59.0,4.0,1.0,1.0,1.0,50.0
0.5,0.3,0.4,0.4,130.0,0.0,52.0,5.0,4.0,9.0,2.0,50.0
0.5,0.3,0.4,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,118.0,0.0,50.0,4.0,1.0,5.0,1.0,50.0
0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.3,0.4,0.4,4.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0
0.5,0.3,0.4,0.4,146.0,0.0,54.0,5.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,113.0,0.0,51.0,3.0,2.0,16.0,4.0,50.0
0.5,0.3,0.4,0.4,126.0,0.0,47.0,4.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,11.0,0.0,11.0,1.0,0.0,0.0,0.0,21.0
0.5,0.3,0.4,0.4,99.0,0.0,47.0,3.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,153.0,0.0,56.0,7.0,3.0,33.0,8.0,50.0
0.5,0.3,0.4,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,118.0,0.0,51.0,4.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,125.0,0.0,46.0,3.0,1.0,10.0,2.0,50.0
0.5,0.3,0.4,0.4,145.0,0.0,57.0,4.0,3.0,25.0,6.0,50.0
0.5,0.3,0.4,0.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,10.0,0.0,10.0,0.0,0.0,0.0,0.0,21.0
0.5,0.3,0.4,0.4,57.0,0.0,28.0,3.0,1.0,3.0,1.0,33.0
0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.3,0.4,0.4,10.0,0.0,10.0,1.0,0.0,0.0,0.0,18.0
0.5,0.3,0.4,0.4,5.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.4,133.0,0.0,48.0,2.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,136.0,0.0,60.0,3.0,2.0,6.0,2.0,50.0
0.5,0.3,0.4,0.4,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,10.0,0.0,10.0,2.0,0.0,0.0,0.0,21.0
0.5,0.3,0.4,0.4,141.0,0.0,64.0,4.0,1.0,6.0,2.0,50.0
0.5,0.3,0.4,0.4,115.0,0.0,48.0,2.0,1.0,3.0,1.0,50.0
0.5,0.3,0.4,0.4,21.0,0.0,17.0,1.0,0.0,0.0,0.0,22.0
0.5,0.3,0.4,0.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,87.0,0.0,45.0,4.0,1.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,136.0,0.0,60.0,2.0,0.0,0.0,0.0,50.0
0.5,0.3,0.4,0.4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.4,129.0,0.0,50.0,5.0,2.0,9.0,3.0,50.0
0.5,0.3,0.4,0.4,11.0,0.0,11.0,2.0,0.0,0.0,0.0,21.0
0.5,0.3,0.4,0.4,121.0,0.0,53.0,3.0,1.0,5.0,1.0,50.0
0.5,0.3,0.4,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.4,132.0,0.0,49.0,1.0,1.0,2.0,1.0,50.0
0.5,0.3,0.4,0.4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0
0.5,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.3,0.5,0.4,137.0,0.0,43.0,3.0,3.0,20.0,6.0,50.0
0.5,0.3,0.5,0.4,145.0,0.0,50.0,4.0,2.0,8.0,2.0,50.0
0.5,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.3,0.5,0.4,103.0,0.0,37.0,3.0,1.0,10.0,3.0,50.0
0.5,0.3,0.5,0.4,3.0,0.0,3.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.4,3.0,0.0,3.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.4,126.0,0.0,41.0,5.0,2.0,23.0,6.0,50.0
0.5,0.3,0.5,0.4,3.0,0.0,3.0,2.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.4,114.0,0.0,45.0,4.0,1.0,10.0,3.0,50.0
0.5,0.3,0.5,0.4,3.0,0.0,3.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.4,115.0,0.0,49.0,2.0,0.0,0.0,0.0,50.0
0.5,0.3,0.5,0.4,125.0,0.0,49.0,2.0,1.0,12.0,3.0,50.0
0.5,0.3,0.5,0.4,147.0,0.0,50.0,6.0,2.0,13.0,4.0,50.0
0.5,0.3,0.5,0.4,148.0,0.0,47.0,4.0,3.0,20.0,6.0,50.0
0.5,0.3,0.5,0.4,5.0,0.0,5.0,2.0,0.0,0.0,0.0,11.0
0.5,0.3,0.5,0.4,3.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
