Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.3,0.4,0.6,8.0,0.0,7.0,3.0,0.0,0.0,0.0,17.0
0.5,0.3,0.4,0.6,9.0,0.0,9.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,6.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,23.0,0.0,18.0,4.0,1.0,5.0,1.0,29.0
0.5,0.3,0.4,0.6,6.0,0.0,6.0,2.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,5.0,0.0,4.0,2.0,1.0,2.0,1.0,17.0
0.5,0.3,0.4,0.6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,5.0,0.0,5.0,1.0,1.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,2.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,29.0,0.0,18.0,1.0,1.0,11.0,3.0,21.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,5.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,19.0,0.0,15.0,1.0,1.0,6.0,2.0,25.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,16.0,0.0,13.0,3.0,1.0,4.0,2.0,25.0
0.5,0.3,0.4,0.6,14.0,0.0,11.0,4.0,2.0,6.0,2.0,29.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,10.0,0.0,9.0,2.0,0.0,0.0,0.0,17.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,5.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,6.0,0.0,6.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,5.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,5.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,4.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,28.0,0.0,18.0,3.0,1.0,11.0,3.0,29.0
0.5,0.3,0.4,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,6.0,0.0,6.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,5.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,10.0,0.0,9.0,1.0,0.0,0.0,0.0,17.0
0.5,0.3,0.4,0.6,7.0,0.0,7.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.4,0.6,14.0,0.0,11.0,2.0,1.0,4.0,1.0,21.0
0.5,0.3,0.4,0.6,26.0,0.0,16.0,3.0,1.0,7.0,2.0,25.0
0.5,0.3,0.4,0.6,28.0,0.0,21.0,4.0,2.0,10.0,3.0,37.0
0.5,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.3,0.4,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.4,0.6,11.0,0.0,11.0,4.0,1.0,3.0,1.0,25.0
0.5,0.3,0.5,0.6,4.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,19.0,0.0,13.0,3.0,1.0,6.0,2.0,21.0
0.5,0.3,0.5,0.6,30.0,0.0,17.0,2.0,1.0,10.0,2.0,25.0
0.5,0.3,0.5,0.6,6.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,33.0,0.0,19.0,1.0,1.0,12.0,3.0,21.0
0.5,0.3,0.5,0.6,35.0,0.0,21.0,1.0,1.0,12.0,3.0,29.0
0.5,0.3,0.5,0.6,27.0,0.0,15.0,1.0,1.0,10.0,3.0,25.0
0.5,0.3,0.5,0.6,8.0,0.0,8.0,1.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,10.0,0.0,9.0,1.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,9.0,0.0,8.0,0.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,9.0,0.0,9.0,1.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,9.0,0.0,9.0,0.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,4.0,0.0,4.0,1.0,1.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,9.0,0.0,8.0,1.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,69.0,0.0,43.0,5.0,4.0,30.0,9.0,49.0
0.5,0.3,0.5,0.6,6.0,0.0,5.0,2.0,1.0,2.0,1.0,17.0
0.5,0.3,0.5,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,17.0,0.0,13.0,2.0,2.0,10.0,3.0,21.0
0.5,0.3,0.5,0.6,34.0,0.0,20.0,1.0,1.0,10.0,3.0,21.0
0.5,0.3,0.5,0.6,6.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.3,0.5,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,9.0,0.0,8.0,4.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.3,0.5,0.6,7.0,0.0,7.0,1.0,0.0,0.0,0.0,13.0
0.5,0.3,0.5,0.6,10.0,0.0,9.0,2.0,0.0,0.0,0.0,17.0
0.5,0.3,0.5,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
