Source,Target,Weight,logWeight,Syn
I1L,I2L,10,3.302585092994046,chemical
I1L,I3,3,2.09861228866811,chemical
I1L,I5,2,1.6931471805599454,chemical
I1L,I6,1,1.0,chemical
I1L,M2L,3,2.09861228866811,chemical
I1L,M3L,8,3.0794415416798357,chemical
I1L,M3R,2,1.6931471805599454,chemical
I1L,MCL,2,1.6931471805599454,chemical
I1L,MCR,2,1.6931471805599454,chemical
I1L,MI,2,1.6931471805599454,chemical
I1L,NSML,3,2.09861228866811,chemical
I1R,I2R,6,2.791759469228055,chemical
I1R,I3,1,1.0,chemical
I1R,I5,2,1.6931471805599454,chemical
I1R,M1,1,1.0,chemical
I1R,M2L,1,1.0,chemical
I1R,M2R,3,2.09861228866811,chemical
I1R,M3L,1,1.0,chemical
I1R,M3R,6,2.791759469228055,chemical
I1R,MCL,3,2.09861228866811,chemical
I1R,MCR,4,2.386294361119891,chemical
I1R,MI,1,1.0,chemical
I1R,NSML,1,1.0,chemical
I1R,NSMR,2,1.6931471805599454,chemical
I2L,I1L,2,1.6931471805599454,chemical
I2L,I2R,3,2.09861228866811,chemical
I2L,I4,13,3.5649493574615367,chemical
I2L,I5,2,1.6931471805599454,chemical
I2L,M1,1,1.0,chemical
I2L,NSML,14,3.6390573296152584,chemical
I2L,NSMR,24,4.178053830347945,chemical
I2R,I1R,1,1.0,chemical
I2R,I2L,3,2.09861228866811,chemical
I2R,I4,20,3.995732273553991,chemical
I2R,I5,2,1.6931471805599454,chemical
I2R,M1,3,2.09861228866811,chemical
I2R,M2R,2,1.6931471805599454,chemical
I2R,M3R,2,1.6931471805599454,chemical
I2R,M4,3,2.09861228866811,chemical
I2R,MCL,1,1.0,chemical
I2R,NSML,34,4.526360524616162,chemical
I2R,NSMR,7,2.9459101490553135,chemical
I3,I1L,1,1.0,chemical
I3,I5,2,1.6931471805599454,chemical
I3,I6,1,1.0,chemical
I3,M1,2,1.6931471805599454,chemical
I3,M2L,2,1.6931471805599454,chemical
I3,M3L,2,1.6931471805599454,chemical
I3,M3R,2,1.6931471805599454,chemical
I3,M4,2,1.6931471805599454,chemical
I3,MCL,1,1.0,chemical
I3,MCR,2,1.6931471805599454,chemical
I3,MI,1,1.0,chemical
I3,NSMR,2,1.6931471805599454,chemical
I4,I2R,7,2.9459101490553135,chemical
I4,I5,2,1.6931471805599454,chemical
I4,M2L,5,2.6094379124341005,chemical
I4,M3L,6,2.791759469228055,chemical
I4,M3R,22,4.091042453358316,chemical
I4,MI,1,1.0,chemical
I4,NSML,8,3.0794415416798357,chemical
I4,NSMR,15,3.70805020110221,chemical
I5,I1L,2,1.6931471805599454,chemical
I5,I2L,3,2.09861228866811,chemical
I5,I2R,1,1.0,chemical
I5,I3,1,1.0,chemical
I5,I4,7,2.9459101490553135,chemical
I5,M1,3,2.09861228866811,chemical
I5,M2L,4,2.386294361119891,chemical
I5,M3L,4,2.386294361119891,chemical
I5,M3R,2,1.6931471805599454,chemical
I5,M4,19,3.9444389791664403,chemical
I5,MI,4,2.386294361119891,chemical
I5,NSML,1,1.0,chemical
I5,NSMR,5,2.6094379124341005,chemical
I6,I1R,1,1.0,chemical
I6,I2L,1,1.0,chemical
I6,I2R,4,2.386294361119891,chemical
I6,I3,12,3.4849066497880004,chemical
I6,M3L,10,3.302585092994046,chemical
I6,M4,15,3.70805020110221,chemical
I6,NSML,24,4.178053830347945,chemical
I6,NSMR,23,4.13549421592915,chemical
M1,I2L,3,2.09861228866811,chemical
M1,I2R,2,1.6931471805599454,chemical
M1,I3,8,3.0794415416798357,chemical
M1,I4,1,1.0,chemical
M1,I5,2,1.6931471805599454,chemical
M1,MI,6,2.791759469228055,chemical
M1,NSML,2,1.6931471805599454,chemical
M2L,I3,2,1.6931471805599454,chemical
M2L,I4,8,3.0794415416798357,chemical
M2L,I5,2,1.6931471805599454,chemical
M2L,M3L,3,2.09861228866811,chemical
M2L,M3R,1,1.0,chemical
M2R,I4,1,1.0,chemical
M2R,I5,3,2.09861228866811,chemical
M2R,M3L,2,1.6931471805599454,chemical
M2R,M3R,1,1.0,chemical
M2R,NSMR,1,1.0,chemical
M3L,NSML,1,1.0,chemical
M3R,M4,2,1.6931471805599454,chemical
M4,I4,5,2.6094379124341005,chemical
M4,I5,1,1.0,chemical
M4,M2L,1,1.0,chemical
M4,M3L,1,1.0,chemical
M4,M4,15,3.70805020110221,chemical
M4,MCL,1,1.0,chemical
MI,I1L,1,1.0,chemical
MI,I3,2,1.6931471805599454,chemical
MI,I4,1,1.0,chemical
MI,M1,7,2.9459101490553135,chemical
MI,M2L,3,2.09861228866811,chemical
MI,M2R,2,1.6931471805599454,chemical
MI,M3L,2,1.6931471805599454,chemical
MI,MCL,3,2.09861228866811,chemical
MI,NSML,1,1.0,chemical
MI,NSMR,2,1.6931471805599454,chemical
NSML,I4,1,1.0,chemical
NSML,M3L,21,4.044522437723423,chemical
NSML,M3R,1,1.0,chemical
NSML,M4,13,3.5649493574615367,chemical
NSML,NSMR,7,2.9459101490553135,chemical
NSMR,I2L,1,1.0,chemical
NSMR,I2R,1,1.0,chemical
NSMR,I4,3,2.09861228866811,chemical
NSMR,I6,4,2.386294361119891,chemical
NSMR,M3R,24,4.178053830347945,chemical
I1L,I2L,2,1.6931471805599454,electrical
I1L,M3L,2,1.6931471805599454,electrical
I1L,MCR,1,1.0,electrical
I1L,NSML,3,2.09861228866811,electrical
I1R,I2R,1,1.0,electrical
I1R,I3,1,1.0,electrical
I1R,MCR,4,2.386294361119891,electrical
I1R,NSMR,2,1.6931471805599454,electrical
I2L,I1L,2,1.6931471805599454,electrical
I2L,I4,1,1.0,electrical
I2L,M2L,1,1.0,electrical
I2R,I1R,1,1.0,electrical
I2R,M1,1,1.0,electrical
I2R,M2R,1,1.0,electrical
I2R,MCR,1,1.0,electrical
I2R,NSMR,2,1.6931471805599454,electrical
I3,I1R,1,1.0,electrical
I3,M1,1,1.0,electrical
I3,MI,1,1.0,electrical
I4,I2L,1,1.0,electrical
I4,M2R,2,1.6931471805599454,electrical
I4,M4,1,1.0,electrical
I5,M2L,1,1.0,electrical
I5,M2R,1,1.0,electrical
I5,M5,1,1.0,electrical
I6,M4,5,2.6094379124341005,electrical
M1,I2R,1,1.0,electrical
M1,I3,1,1.0,electrical
M2L,I2L,1,1.0,electrical
M2L,I5,1,1.0,electrical
M2L,M4,1,1.0,electrical
M2L,MCL,1,1.0,electrical
M2R,I2R,1,1.0,electrical
M2R,I4,2,1.6931471805599454,electrical
M2R,I5,1,1.0,electrical
M2R,M3R,1,1.0,electrical
M2R,MCR,11,3.3978952727983707,electrical
M2R,MI,5,2.6094379124341005,electrical
M3L,I1L,2,1.6931471805599454,electrical
M3L,NSMR,1,1.0,electrical
M3R,M2R,1,1.0,electrical
M3R,NSMR,2,1.6931471805599454,electrical
M4,I4,1,1.0,electrical
M4,I6,5,2.6094379124341005,electrical
M4,M2L,1,1.0,electrical
M4,M4,1,1.0,electrical
M4,M5,2,1.6931471805599454,electrical
M5,I5,1,1.0,electrical
M5,M4,2,1.6931471805599454,electrical
M5,M5,1,1.0,electrical
MCL,M2L,1,1.0,electrical
MCR,I1L,1,1.0,electrical
MCR,I1R,4,2.386294361119891,electrical
MCR,I2R,1,1.0,electrical
MCR,M2R,11,3.3978952727983707,electrical
MI,I3,1,1.0,electrical
MI,M2R,5,2.6094379124341005,electrical
NSML,I1L,3,2.09861228866811,electrical
NSML,NSMR,2,1.6931471805599454,electrical
NSMR,I1R,2,1.6931471805599454,electrical
NSMR,I2R,2,1.6931471805599454,electrical
NSMR,M3L,1,1.0,electrical
NSMR,M3R,2,1.6931471805599454,electrical
NSMR,NSML,2,1.6931471805599454,electrical
