from,to,connWeight
ADAL,ADAL,-77.5278718840906
ADAL,ADAR,0.0832664312084778
ADAL,AIAL,-3.8785060536224
ADAL,DB06,0.114091095746297
ADAL,DB07,-0.11782010432676
ADAL,DD01,0.769312238084853
ADAL,DD02,-0.00131814904061629
ADAL,DD03,-0.157117080776638
ADAL,DD04,-0.0716399298215263
ADAL,DD05,-0.108167934389197
ADAL,DD06,0.398080419842183
ADAL,DVA,-0.484610162944876
ADAL,DVB,-0.0972027331318414
ADAL,AIAR,-0.777562647687583
ADAL,DVC,-0.136628992687513
ADAL,FLPL,-0.00218451507195282
ADAL,FLPR,0.100665584253444
ADAL,HSNL,-1.13545713326138
ADAL,HSNR,1.98837801217395
ADAL,IL1DL,-0.449891046651996
ADAL,IL1DR,-1.36862825125536
ADAL,IL1L,-0.243657975682202
ADAL,IL1R,-0.74974265374311
ADAL,IL1VL,-0.260383539812875
ADAL,AIBL,-1.83580649647929
ADAL,IL1VR,-0.672338082002274
ADAL,IL2DL,0.107056625625177
ADAL,IL2DR,-0.347549206998576
ADAL,IL2L,0.367538871638216
ADAL,IL2R,-0.337267976333655
ADAL,IL2VL,0.113821232381989
ADAL,IL2VR,-0.0725381850648757
ADAL,LUAL,-0.181473950789094
ADAL,LUAR,1.26114876664383
ADAL,OLLL,-0.647363946723792
ADAL,AIBR,1.01057513066501
ADAL,OLLR,-0.238004395327463
ADAL,OLQDL,-0.183729900162865
ADAL,OLQDR,-0.568264975320426
ADAL,OLQVL,-1.112948107601
ADAL,OLQVR,-1.04795148249632
ADAL,PDA,0.295657631767576
ADAL,PDB,-0.132505168968684
ADAL,PDEL,-0.0184749985699107
ADAL,PDER,0.21179440656097
ADAL,PHAL,0.0121002305965498
ADAL,AIML,0.0287502528023713
ADAL,PHAR,-0.249085392923878
ADAL,PHBL,-0.0908424989411954
ADAL,PHBR,-0.0412594438670014
ADAL,PHCL,-0.212027782100287
ADAL,PHCR,-0.126633017117318
ADAL,PLML,0.0250377222959476
ADAL,PLMR,-0.117568987442448
ADAL,PLNL,-1.63397636404388
ADAL,PLNR,-0.345985366379842
ADAL,PQR,0.1803492817605
ADAL,AIMR,-1.38027779835376
ADAL,PVCL,-0.0734119248110698
ADAL,PVCR,0.200291622658114
ADAL,PVDL,-0.102231928725497
ADAL,PVDR,-0.10104486461429
ADAL,PVM,-0.0144528556636504
ADAL,PVNL,0.207220202806712
ADAL,PVNR,0.791668860448425
ADAL,PVPL,0.940030866372898
ADAL,PVPR,0.894484917217032
ADAL,PVQL,2.16260687189184
ADAL,AINL,-1.41090764871498
ADAL,PVQR,1.3029309599865
ADAL,PVR,-0.198023703013593
ADAL,PVT,1.29119244946504
ADAL,PVWL,0.202377315848345
ADAL,PVWR,0.26581433828531
ADAL,RIAL,-0.101787168619112
ADAL,RIAR,-2.33181962107917
ADAL,RIBL,0.753488244480414
ADAL,RIBR,0.170877759021591
ADAL,RICL,-6.62044167347547
ADAL,AINR,-1.17970029368884
ADAL,RICR,-7.82901739854705
