Source,Target,Weight,logWeight,Syn,exin
ADAL,ADLL,2,1.69314718055995,chemical,1
ADAL,URXL,2,1.69314718055995,chemical,1
ADAL,AIAL,2,1.69314718055995,chemical,1
ADAL,AIBL,2,1.69314718055995,chemical,1
ADAL,AIBR,2,1.69314718055995,chemical,1
ADAL,ADAL,6,2.79175946922805,chemical,1
ADAL,RICL,3,2.09861228866811,chemical,1
ADAL,RICR,1,1,chemical,1
ADAL,RIPL,4,2.38629436111989,chemical,1
ADAL,AVJR,11,3.39789527279837,chemical,1
ADAL,PVPL,1,1,chemical,1
ADAL,RID,1,1,chemical,1
ADAL,AVAL,3,2.09861228866811,chemical,1
ADAL,AVAR,7,2.94591014905531,chemical,1
ADAL,AVBL,5,2.6094379124341,chemical,1
ADAL,AVBR,21,4.04452243772342,chemical,1
ADAL,AVDL,1,1,chemical,1
ADAL,AVDR,2,1.69314718055995,chemical,1
ADAL,AVEL,3,2.09861228866811,chemical,1
ADAL,RIML,9,3.19722457733622,chemical,1
ADAL,URAVL,1,1,chemical,1
ADAL,SMDVR,3,2.09861228866811,chemical,1
ADAL,ADFL,5,2.6094379124341,electrical,1
ADAL,OLQVL,4,2.38629436111989,electrical,1
ADAL,ADAR,3,2.09861228866811,electrical,1
ADAL,PVQL,4,2.38629436111989,electrical,1
ADAL,AVDR,2,1.69314718055995,electrical,1
ADAR,ASHR,2,1.69314718055995,chemical,1
ADAR,URXR,2,1.69314718055995,chemical,1
ADAR,URYDR,2,1.69314718055995,chemical,1
ADAR,AIBL,1,1,chemical,1
ADAR,AIBR,3,2.09861228866811,chemical,1
ADAR,RIFR,1,1,chemical,1
ADAR,RIPR,9,3.19722457733622,chemical,1
ADAR,AVJL,13,3.56494935746154,chemical,1
ADAR,PVR,6,2.79175946922805,chemical,1
ADAR,AVAR,8,3.07944154167984,chemical,1
ADAR,AVBL,8,3.07944154167984,chemical,1
ADAR,AVBR,15,3.70805020110221,chemical,1
ADAR,AVDL,2,1.69314718055995,chemical,1
ADAR,AVDR,3,2.09861228866811,chemical,1
ADAR,AVEL,1,1,chemical,1
ADAR,RIMR,15,3.70805020110221,chemical,1
ADAR,RIVR,5,2.6094379124341,chemical,1
ADAR,SMDVL,1,1,chemical,1
ADAR,ADFR,4,2.38629436111989,electrical,1
ADAR,ASHR,3,2.09861228866811,electrical,1
ADAR,ADAL,3,2.09861228866811,electrical,1
ADAR,PVQR,2,1.69314718055995,electrical,1
ADAR,AVDL,3,2.09861228866811,electrical,1
ADEL,IL1L,3,2.09861228866811,chemical,1
ADEL,IL2L,5,2.6094379124341,chemical,1
ADEL,OLLL,6,2.79175946922805,chemical,1
ADEL,CEPDL,1,1,chemical,1
ADEL,ALML,1,1,chemical,1
ADEL,FLPL,4,2.38629436111989,chemical,1
ADEL,BDUL,1,1,chemical,1
ADEL,ADER,5,2.6094379124341,chemical,1
ADEL,ADAL,1,1,chemical,1
ADEL,RIAL,2,1.69314718055995,chemical,1
ADEL,RIFL,1,1,chemical,1
ADEL,RIGL,18,3.89037175789616,chemical,1
ADEL,RIGR,15,3.70805020110221,chemical,1
ADEL,RIH,3,2.09861228866811,chemical,1
ADEL,RMGL,7,2.94591014905531,chemical,1
ADEL,URBL,2,1.69314718055995,chemical,1
ADEL,AVHL,2,1.69314718055995,chemical,1
ADEL,AVL,1,1,chemical,1
ADEL,AVAL,7,2.94591014905531,chemical,1
ADEL,AVAR,9,3.19722457733622,chemical,1
