Source,Target,Weight,logWeight,Syn,SGN,WxSGN,logWxSGN
ADFL,ADLL,1,1,chemical,1,2,1.69314718055995
ADFL,AWBL,2,1.69314718055995,chemical,1,2,1.69314718055995
ADFL,AWCR,2,1.69314718055995,chemical,1,2,1.69314718055995
ADFL,AFDL,1,1,chemical,1,2,1.69314718055995
ADFL,URXL,1,1,chemical,1,2,1.69314718055995
ADFL,AUAL,12,3.484906649788,chemical,1,6,2.79175946922805
ADFL,AIAL,2,1.69314718055995,chemical,1,3,2.09861228866811
ADFL,AIBL,2,1.69314718055995,chemical,1,1,1
ADFL,AIBR,1,1,chemical,1,4,2.38629436111989
ADFL,AIZL,39,4.66356164612965,chemical,1,11,3.39789527279837
ADFL,ADAL,2,1.69314718055995,chemical,1,1,1
ADFL,RIAL,46,4.8286413964891,chemical,1,1,1
ADFL,RIBL,4,2.38629436111989,chemical,1,3,2.09861228866811
ADFL,RIGL,4,2.38629436111989,chemical,1,7,2.94591014905531
ADFL,RIGR,1,1,chemical,1,5,2.6094379124341
ADFL,RIR,4,2.38629436111989,chemical,1,21,4.04452243772342
ADFL,RIVL,1,1,chemical,1,1,1
ADFL,SMBDL,1,1,chemical,1,2,1.69314718055995
ADFL,SMBVL,9,3.19722457733622,chemical,1,3,2.09861228866811
ADFL,SMDVL,1,1,chemical,1,9,3.19722457733622
ADFR,ADFR,1,1,chemical,1,1,1
ADFR,ASHR,6,2.79175946922805,chemical,1,3,2.09861228866811
ADFR,AWAR,1,1,chemical,1,2,1.69314718055995
ADFR,AWBR,4,2.38629436111989,chemical,1,2,1.69314718055995
ADFR,AWCR,1,1,chemical,1,2,1.69314718055995
ADFR,AFDR,1,1,chemical,1,1,1
ADFR,OLQVR,1,1,chemical,1,3,2.09861228866811
ADFR,BAGL,6,2.79175946922805,chemical,1,1,1
ADFR,URXR,10,3.30258509299405,chemical,1,9,3.19722457733622
ADFR,URYVR,2,1.69314718055995,chemical,1,13,3.56494935746154
ADFR,AUAR,9,3.19722457733622,chemical,1,6,2.79175946922805
ADFR,AIYR,2,1.69314718055995,chemical,1,8,3.07944154167984
ADFR,AIZR,37,4.61091791264422,chemical,1,8,3.07944154167984
ADFR,ADAR,4,2.38629436111989,chemical,1,15,3.70805020110221
ADFR,RIAR,61,5.11087386417331,chemical,1,2,1.69314718055995
ADFR,RIGR,24,4.17805383034795,chemical,1,3,2.09861228866811
ADFR,RIH,2,1.69314718055995,chemical,1,1,1
ADFR,RIR,7,2.94591014905531,chemical,1,15,3.70805020110221
ADFR,AVHL,1,1,chemical,1,5,2.6094379124341
