Source,Target,Weight,logWeight,Syn,SGN,WxSGN,logWxSGN
ADFL,ASHL,1,1,electrical,1,5,2.6094379124341
ADFL,AWCL,1,1,electrical,1,4,2.38629436111989
ADFL,AFDL,3,2.09861228866811,electrical,1,3,2.09861228866811
ADFL,AIZL,1,1,electrical,1,4,2.38629436111989
ADFL,ADAL,5,2.6094379124341,electrical,1,2,1.69314718055995
ADFL,RIAL,1,1,electrical,1,4,2.38629436111989
ADFL,URBL,1,1,electrical,1,3,2.09861228866811
ADFL,RIPL,2,1.69314718055995,electrical,1,3,2.09861228866811
ADFR,ASGR,1,1,electrical,1,2,1.69314718055995
ADFR,AWAR,3,2.09861228866811,electrical,1,3,2.09861228866811
ADFR,AWBR,1,1,electrical,1,2,1.69314718055995
ADFR,AFDR,5,2.6094379124341,electrical,1,1,1
ADFR,AIAR,4,2.38629436111989,electrical,1,2,1.69314718055995
ADFR,ADAR,4,2.38629436111989,electrical,1,4,2.38629436111989
ADFR,RIH,1,1,electrical,1,4,2.38629436111989
ADFR,SMBVR,1,1,electrical,1,1,1
ADFR,SMDVR,2,1.69314718055995,electrical,1,4,2.38629436111989
ADLL,ADLR,6,2.79175946922805,electrical,1,2,1.69314718055995
ADLL,AWAL,1,1,electrical,1,1,1
ADLL,RMGL,3,2.09861228866811,electrical,1,1,1
ADLL,AVDR,2,1.69314718055995,electrical,1,3,2.09861228866811
ADLR,ADLL,6,2.79175946922805,electrical,1,1,1
ADLR,ASGR,1,1,electrical,1,5,2.6094379124341
ADLR,ASKR,1,1,electrical,1,1,1
ASEL,ASGL,3,2.09861228866811,electrical,1,1,1
ASEL,AWCL,1,1,electrical,1,2,1.69314718055995
ASEL,AWCR,2,1.69314718055995,electrical,1,1,1
ASEL,AFDL,6,2.79175946922805,electrical,1,3,2.09861228866811
ASEL,AFDR,2,1.69314718055995,electrical,1,1,1
ASER,ASGR,3,2.09861228866811,electrical,1,5,2.6094379124341
ASER,AWBR,1,1,electrical,1,4,2.38629436111989
ASER,AFDR,1,1,electrical,1,4,2.38629436111989
ASER,PVQR,1,1,electrical,1,1,1
ASGL,ASEL,3,2.09861228866811,electrical,1,1,1
ASGL,AWBL,1,1,electrical,1,2,1.69314718055995
ASGL,AIZL,3,2.09861228866811,electrical,1,6,2.79175946922805
ASGL,AIML,1,1,electrical,1,1,1
ASGL,AINR,1,1,electrical,1,3,2.09861228866811
ASGL,RIVL,2,1.69314718055995,electrical,1,2,1.69314718055995
ASGR,ADFR,1,1,electrical,1,6,2.79175946922805
ASGR,ADLR,1,1,electrical,1,1,1
ASGR,ASER,3,2.09861228866811,electrical,1,1,1
ASGR,ASIR,4,2.38629436111989,electrical,1,3,2.09861228866811
ASGR,AWCR,2,1.69314718055995,electrical,1,6,2.79175946922805
ASGR,AIAR,3,2.09861228866811,electrical,1,1,1
ASGR,AIZR,1,1,electrical,1,2,1.69314718055995
