Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.2,0.4,0.1,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.2,0.4,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,7.0,0.0,7.0,2.0,1.0,5.0,1.0,13.0
0.5,0.2,0.4,0.1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.2,0.4,0.1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,11.0,0.0,11.0,2.0,1.0,8.0,2.0,13.0
0.5,0.2,0.4,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,4.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.4,0.1,20.0,0.0,17.0,4.0,3.0,14.0,4.0,21.0
