Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.1,0.5,0.01,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,92.0,0.0,76.0,2.0,8.0,81.0,16.0,17.0
0.5,0.1,0.5,0.01,17.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,44.0,0.0,44.0,2.0,8.0,38.0,10.0,21.0
0.5,0.1,0.5,0.01,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,62.0,0.0,62.0,1.0,6.0,55.0,11.0,13.0
0.5,0.1,0.5,0.01,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,163.0,0.0,120.0,5.0,22.0,169.0,36.0,29.0
0.5,0.1,0.7,0.01,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,97.0,0.0,78.0,4.0,13.0,83.0,21.0,29.0
0.5,0.1,0.7,0.01,43.0,0.0,43.0,1.0,5.0,31.0,7.0,13.0
0.5,0.1,0.7,0.01,15.0,0.0,15.0,1.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,73.0,0.0,68.0,2.0,8.0,59.0,10.0,17.0
0.5,0.1,0.7,0.01,15.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,9.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.01,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.01,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.01,102.0,0.0,90.0,4.0,17.0,101.0,24.0,29.0
0.5,0.1,0.9,0.01,64.0,0.0,64.0,1.0,4.0,46.0,11.0,13.0
0.5,0.1,0.9,0.01,130.0,0.0,122.0,4.0,20.0,119.0,29.0,29.0
0.5,0.1,0.9,0.01,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.01,136.0,0.0,110.0,7.0,27.0,136.0,37.0,37.0
0.5,0.1,0.9,0.01,34.0,0.0,29.0,2.0,7.0,28.0,8.0,17.0
0.5,0.1,0.9,0.01,39.0,0.0,39.0,1.0,5.0,26.0,8.0,13.0
0.5,0.1,0.9,0.01,142.0,0.0,113.0,6.0,18.0,135.0,27.0,37.0
0.5,0.1,0.5,0.05,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,74.0,0.0,68.0,2.0,8.0,59.0,16.0,17.0
0.5,0.1,0.5,0.05,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,47.0,0.0,47.0,2.0,6.0,38.0,12.0,21.0
0.5,0.1,0.5,0.05,9.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,14.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,14.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.05,37.0,0.0,37.0,1.0,5.0,31.0,8.0,13.0
0.5,0.1,0.7,0.05,98.0,0.0,81.0,4.0,14.0,86.0,23.0,29.0
0.5,0.1,0.9,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.05,88.0,0.0,82.0,2.0,10.0,75.0,15.0,17.0
0.5,0.1,0.9,0.05,73.0,0.0,65.0,2.0,11.0,60.0,18.0,17.0
0.5,0.1,0.9,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.05,40.0,0.0,40.0,1.0,2.0,29.0,5.0,13.0
0.5,0.1,0.9,0.05,14.0,0.0,14.0,1.0,1.0,3.0,1.0,13.0
0.5,0.1,0.9,0.05,242.0,0.0,219.0,8.0,32.0,239.0,55.0,50.0
0.5,0.1,0.9,0.05,40.0,0.0,40.0,1.0,3.0,32.0,8.0,13.0
0.5,0.1,0.9,0.05,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,92.0,0.0,69.0,5.0,19.0,65.0,21.0,37.0
0.5,0.1,0.5,0.1,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,325.0,0.0,250.0,7.0,28.0,205.0,50.0,50.0
0.5,0.1,0.5,0.1,198.0,0.0,170.0,5.0,17.0,134.0,34.0,49.0
0.5,0.1,0.5,0.1,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
