cell_name,area,sensor,LR,node
ADFL,head,chemosensor,L,n4
ADLL,head,chemosensor,L,n6
ASEL,head,chemosensor,L,n39
ASGL,head,chemosensor,L,n41
ASIL,head,chemosensor,L,n45
ASJL,head,chemosensor,L,n47
ASKL,head,chemosensor,L,n49
IL2L,head,chemosensor,L,n123
ADFR,head,chemosensor,R,n5
ADLR,head,chemosensor,R,n7
ASER,head,chemosensor,R,n40
ASGR,head,chemosensor,R,n42
ASIR,head,chemosensor,R,n46
ASJR,head,chemosensor,R,n48
ASKR,head,chemosensor,R,n50
IL2R,head,chemosensor,R,n124
PHAL,tail,chemosensor,L,n139
PHBL,tail,chemosensor,L,n141
PHAR,tail,chemosensor,R,n140
PHBR,tail,chemosensor,R,n142
ASHL,head,"chemosensor, odorsensor, mechanosensor, osmoceptor, nociceptor ",L,n43
ASHR,head,"chemosensor, odorsensor, mechanosensor, osmoceptor, nociceptor ",R,n44
AVM,body,mechanosensor,b,n71
PVM,body,mechanosensor,b,n154
ALML,body,mechanosensor,L,n23
PDEL,body,mechanosensor,L,n137
ALMR,body,mechanosensor,R,n24
PDER,body,mechanosensor,R,n138
ADEL,head,mechanosensor,L,n2
CEPDL,head,mechanosensor,L,n82
CEPVL,head,mechanosensor,L,n84
IL1L,head,mechanosensor,L,n117
OLLL,head,mechanosensor,L,n129
OLQDL,head,mechanosensor,L,n131
OLQVL,head,mechanosensor,L,n133
ADER,head,mechanosensor,R,n3
CEPDR,head,mechanosensor,R,n83
CEPVR,head,mechanosensor,R,n85
IL1R,head,mechanosensor,R,n118
OLLR,head,mechanosensor,R,n130
OLQDR,head,mechanosensor,R,n132
OLQVR,head,mechanosensor,R,n134
AWAL,head,odorsensor,L,n72
AWBL,head,odorsensor,L,n74
AWAR,head,odorsensor,R,n73
AWBR,head,odorsensor,R,n75
AWCL,head,"odorsensor, thermosensor",L,n76
AWCR,head,"odorsensor, thermosensor",R,n77
BAGL,head,oxygen,L,n78
URXL,head,oxygen,L,n232
AQR,head,oxygen,R,n27
BAGR,head,oxygen,R,n79
URXR,head,oxygen,R,n233
PQR,tail,oxygen,R,n149
SAADL,head,propioHead,L,n201
SAAVL,head,propioHead,L,n203
SMBDL,head,propioHead,L,n218
SMBVL,head,propioHead,L,n220
SMDDL,head,propioHead,L,n222
SMDVL,head,propioHead,L,n224
SAADR,head,propioHead,R,n202
SAAVR,head,propioHead,R,n204
SMBDR,head,propioHead,R,n219
SMBVR,head,propioHead,R,n221
SMDDR,head,propioHead,R,n223
SMDVR,head,propioHead,R,n225
DA1,body,propioSomatic,b,n86
DA2,body,propioSomatic,b,n87
DA3,body,propioSomatic,b,n88
DA4,body,propioSomatic,b,n89
DA5,body,propioSomatic,b,n90
DA6,body,propioSomatic,b,n91
DA7,body,propioSomatic,b,n92
DA8,body,propioSomatic,b,n93
DA9,body,propioSomatic,b,n94
DB1,body,propioSomatic,b,n95
DB2,body,propioSomatic,b,n96
DB3,body,propioSomatic,b,n97
DB4,body,propioSomatic,b,n98
DB5,body,propioSomatic,b,n99
DB6,body,propioSomatic,b,n100
DB7,body,propioSomatic,b,n101
VA1,body,propioSomatic,b,n238
VA10,body,propioSomatic,b,n247
VA11,body,propioSomatic,b,n248
VA12,body,propioSomatic,b,n249
VA2,body,propioSomatic,b,n239
VA3,body,propioSomatic,b,n240
VA4,body,propioSomatic,b,n241
VA5,body,propioSomatic,b,n242
VA6,body,propioSomatic,b,n243
VA7,body,propioSomatic,b,n244
VA8,body,propioSomatic,b,n245
VA9,body,propioSomatic,b,n246
VB1,body,propioSomatic,b,n250
VB10,body,propioSomatic,b,n259
VB11,body,propioSomatic,b,n260
VB2,body,propioSomatic,b,n251
VB3,body,propioSomatic,b,n252
VB4,body,propioSomatic,b,n253
VB5,body,propioSomatic,b,n254
VB6,body,propioSomatic,b,n255
VB7,body,propioSomatic,b,n256
VB8,body,propioSomatic,b,n257
VB9,body,propioSomatic,b,n258
DVA,tail,propioSomatic,b,n108
PVCL,tail,propioSomatic,L,n150
PVCR,tail,propioSomatic,R,n151
PVDL,body,"propioSomatic, mechanosensor, thermosensor, thermonociceptive",L,n152
PVDR,body,"propioSomatic, mechanosensor, thermosensor, thermonociceptive",R,n153
FLPL,head,"propioSomatic, mechanosensor, thermosensor, thermonociceptive",L,n111
FLPR,head,"propioSomatic, mechanosensor, thermosensor, thermonociceptive",R,n112
ALNL,tail,"propioSomatic, propioTail",L,n25
ALNR,tail,"propioSomatic, propioTail",R,n26
AVG,head,propioTail,b,n63
PDB,tail,propioTail,b,n136
PVR,tail,propioTail,b,n161
PLML,tail,"propioTail, mechanosensor",L,n145
PLMR,tail,"propioTail, mechanosensor",R,n146
PLNL,tail,"propioTail, propioSomatic",L,n147
PLNR,tail,"propioTail, propioSomatic",R,n148
PHCL,tail,"propioTail, thermosensor, thermonociceptive",L,n143
PHCR,tail,"propioTail, thermosensor, thermonociceptive",R,n144
AFDL,head,"thermonociceptive, thermosensor",L,n8
AFDR,head,"thermonociceptive, thermosensor",R,n9
