Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.1,0.3,0.01,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.3,0.01,69.0,0.0,69.0,1.0,9.0,60.0,14.0,13.0
0.5,0.1,0.3,0.01,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.3,0.01,114.0,0.0,114.0,2.0,13.0,113.0,23.0,21.0
0.5,0.1,0.3,0.01,82.0,0.0,81.0,3.0,10.0,75.0,18.0,21.0
0.5,0.1,0.3,0.01,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.3,0.01,245.0,0.0,196.0,6.0,25.0,245.0,51.0,37.0
0.5,0.1,0.3,0.01,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.3,0.01,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.3,0.01,16.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,27.0,0.0,27.0,1.0,4.0,12.0,5.0,13.0
0.5,0.1,0.5,0.01,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,100.0,0.0,97.0,3.0,12.0,90.0,23.0,25.0
0.5,0.1,0.5,0.01,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,278.0,0.0,260.0,8.0,32.0,272.0,59.0,49.0
0.5,0.1,0.5,0.01,14.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,14.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.01,80.0,0.0,71.0,2.0,6.0,69.0,15.0,17.0
0.5,0.1,0.7,0.01,194.0,0.0,127.0,9.0,34.0,188.0,49.0,50.0
0.5,0.1,0.7,0.01,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.01,58.0,0.0,58.0,1.0,7.0,56.0,12.0,13.0
0.5,0.1,0.7,0.01,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
