,0,1,2,3,4
n0,0,0,0,0,0
n1,0,0,0,0,0
n10,100,-10,0,0,0
n100,0,0,0,0,0
n101,0,0,0,0,100
n102,0,0,0,0,0
n103,0,0,0,0,0
n104,0,0,0,0,0
n105,0,0,0,0,0
n106,0,0,0,0,0
n107,0,0,0,0,0
n108,0,0,0,0,100
n109,100,-10,0,0,0
n11,100,-10,0,0,0
n110,0,0,0,0,100
n111,0,0,0,100,-10
n112,0,0,0,100,-10
n113,0,0,0,0,0
n114,0,0,0,0,0
n115,0,0,0,0,0
n116,0,0,0,0,0
n117,0,0,0,0,0
n118,100,-10,0,0,0
n119,0,0,0,0,0
n12,0,0,0,100,-10
n120,0,0,0,0,0
n121,0,0,0,0,0
n122,0,0,0,0,0
n123,100,-10,0,0,0
n124,0,0,0,0,0
n125,0,0,0,0,0
n126,0,0,0,0,0
n127,0,0,0,100,-10
n128,0,0,0,100,-10
n129,0,0,0,0,0
n13,0,0,0,0,0
n130,0,0,0,0,0
n131,0,0,0,0,0
n132,0,0,0,0,0
n133,0,0,0,0,0
n134,0,0,0,0,0
n135,100,-10,0,0,0
n136,100,-10,0,0,0
n137,100,-10,0,0,0
n138,0,0,0,0,0
n139,0,0,0,0,0
n14,0,0,0,0,0
n140,0,0,0,0,100
n141,0,0,0,100,-10
n142,0,0,0,100,-10
n143,0,0,0,0,0
n144,0,0,0,100,-10
n145,0,0,0,0,0
n146,0,0,0,0,0
n147,0,0,0,0,0
n148,0,0,0,0,0
n149,100,-10,0,100,-10
n15,0,0,0,0,0
n150,0,100,-10,0,100
n151,100,-10,0,100,-10
n152,0,0,0,100,-10
n153,0,0,0,100,-10
n154,0,0,0,0,0
n155,0,0,0,100,-10
n156,100,-10,0,100,-10
n157,0,0,0,100,-10
n158,0,0,0,100,-10
n159,0,0,0,0,100
n16,100,-10,0,0,0
n160,0,0,0,100,-10
n161,0,0,0,100,-10
n162,0,0,0,100,-10
n163,0,0,0,100,-10
n164,0,0,0,100,-10
n165,0,0,0,0,0
n166,0,0,0,100,-10
n167,0,0,0,0,0
n168,0,0,0,0,100
n169,0,0,0,0,100
n17,0,0,0,0,0
n170,0,0,0,100,-10
n171,100,-10,0,0,0
n172,0,0,0,0,100
n173,0,0,0,0,100
n174,0,0,0,0,100
n175,0,0,0,100,-10
n176,0,0,0,0,0
n177,0,0,0,100,-10
n178,100,-10,0,100,-10
n179,100,-10,0,0,0
n18,100,-10,0,0,0
n180,0,0,0,0,0
n181,0,0,0,0,0
n182,100,-10,0,100,-10
n183,0,0,0,0,0
n184,0,0,0,0,0
n185,0,0,0,0,0
n186,0,0,0,0,0
n187,0,0,0,0,0
n188,0,0,0,0,0
n189,0,0,0,0,0
n19,0,0,0,0,0
n190,0,0,0,0,0
n191,0,0,0,0,0
n192,0,0,0,0,0
n193,0,0,0,0,0
n194,0,0,0,0,0
n195,0,0,0,0,0
n196,0,0,0,0,0
n197,0,0,0,0,0
n198,0,0,0,0,0
n199,0,0,0,0,0
n2,0,0,0,0,0
n20,0,0,0,0,0
n200,0,0,0,0,0
n201,0,0,0,100,-10
n202,0,0,0,100,-10
n203,100,-10,0,100,-10
n204,0,0,0,0,100
n205,100,-10,0,0,0
n206,0,0,0,0,0
n207,0,0,0,0,0
n208,0,0,0,0,0
n209,0,0,0,0,100
n21,0,0,0,0,0
n210,0,0,0,100,-10
n211,0,0,0,100,-10
n212,0,0,0,0,0
n213,100,-10,0,0,0
n214,0,0,0,0,0
n215,0,0,0,0,0
n216,0,0,0,0,0
n217,0,0,0,0,0
n218,100,-10,0,0,0
n219,0,0,0,100,-10
n22,0,0,0,0,0
n220,100,-10,0,0,100
n221,0,0,0,0,0
n222,0,0,0,0,0
n223,100,-10,0,0,0
n224,0,0,0,100,-10
n225,100,-10,0,0,0
n226,0,0,0,0,0
n227,0,0,0,0,0
n228,0,0,0,0,0
n229,0,0,0,0,0
n23,0,0,0,0,0
n230,100,-10,0,0,0
n231,0,0,0,0,0
n232,0,0,0,0,0
n233,0,0,0,100,-10
n234,0,0,0,0,0
n235,0,0,0,0,0
n236,0,0,0,0,0
n237,0,0,0,0,0
n238,0,0,0,0,0
n239,0,0,0,100,-10
n24,0,0,0,0,0
n240,0,0,0,0,0
n241,0,0,0,0,0
n242,100,-10,0,0,0
n243,100,-10,0,0,0
n244,0,0,0,0,0
n245,0,0,0,0,0
n246,0,0,0,0,0
n247,100,-10,0,0,0
n248,0,0,0,0,100
n249,0,0,0,100,-10
n25,0,0,0,0,0
n250,0,0,0,0,0
n251,100,-10,0,0,0
n252,0,0,0,0,0
n253,0,0,0,0,0
n254,0,0,0,0,0
n255,100,-10,0,0,0
n256,0,0,0,0,0
n257,0,0,0,0,0
n258,0,0,0,0,0
n259,0,0,0,0,0
n26,0,0,0,0,0
n260,0,0,0,0,0
n261,0,0,0,0,0
n262,0,0,0,0,0
n263,100,-10,0,0,0
n264,0,0,0,0,0
n265,0,0,0,0,0
n266,0,0,0,0,0
n267,0,0,0,0,0
n268,0,0,0,0,0
n269,100,-10,0,0,0
n27,0,0,0,0,100
n270,100,-10,0,0,0
n271,0,0,0,0,0
n272,0,0,0,0,0
n273,0,0,0,0,0
n274,0,0,0,0,0
n275,0,0,0,0,0
n276,0,0,0,0,0
n277,0,0,0,100,-10
n278,0,0,0,100,-10
n279,100,-10,0,0,0
n28,0,0,0,0,0
n280,0,0,0,0,0
n281,0,0,0,0,0
n282,0,0,0,0,0
n283,0,0,0,0,0
n284,0,0,0,0,0
