,0,1
n0,0,0
n1,0,0
n10,0,0
n100,0,0
n101,0,0
n102,0,0
n103,0,0
n104,0,0
n105,0,0
n106,0,0
n107,0,0
n108,0,0
n109,0,0
n11,0,0
n110,100,-10
n111,0,0
n112,0,0
n113,0,0
n114,100,-10
n115,0,0
n116,0,0
n117,0,0
n118,0,0
n119,100,-10
n12,0,0
n120,0,0
n121,100,-10
n122,0,0
n123,100,-10
n124,0,0
n125,0,0
n126,0,0
n127,0,0
n128,0,0
n129,0,0
n13,0,0
n130,0,0
n131,0,0
n132,0,0
n133,100,-10
n134,0,0
n135,100,-10
n136,0,0
n137,0,0
n138,0,0
n139,0,0
n14,0,0
n140,0,0
n141,0,0
n142,0,0
n143,0,0
n144,0,0
n145,0,0
n146,0,0
n147,0,0
n148,100,-10
n149,0,0
n15,0,0
n150,0,100
n151,100,-10
n152,0,0
n153,0,0
n154,0,0
n155,0,0
n156,0,0
n157,0,100
n158,100,-10
n159,0,0
n16,0,0
n160,0,0
n161,0,0
n162,0,0
n163,0,0
n164,0,0
n165,0,0
n166,0,0
n167,0,0
n168,0,0
n169,0,0
n17,0,0
n170,100,-10
n171,0,0
n172,0,0
n173,0,0
n174,100,-10
n175,0,0
n176,0,0
n177,100,-10
n178,0,0
n179,0,0
n18,0,0
n180,100,-10
n181,0,0
n182,100,-10
n183,0,100
n184,100,-10
n185,0,0
n186,100,-10
n187,0,0
n188,0,0
n189,0,0
n19,0,0
n190,0,0
n191,0,0
n192,0,0
n193,0,0
n194,100,-10
n195,0,0
n196,0,0
n197,0,0
n198,0,0
n199,0,0
n2,0,0
n20,0,0
n200,0,0
n201,0,0
n202,0,0
n203,0,0
n204,0,0
n205,0,0
n206,0,0
n207,100,-10
n208,0,0
n209,0,0
n21,0,0
n210,0,0
n211,100,-10
n212,0,0
n213,0,0
n214,0,0
n215,100,-10
n216,0,0
n217,0,0
n218,0,0
n219,0,0
n22,0,0
n220,0,0
n221,100,-10
n222,0,0
n223,0,0
n224,0,0
n225,100,-10
n226,0,0
n227,100,-10
n228,0,0
n229,0,0
n23,0,0
n230,0,0
n231,100,-10
n232,0,0
n233,100,-10
n234,0,0
n235,0,0
n236,0,0
n237,0,0
n238,0,0
n239,0,0
n24,0,100
n240,0,0
n241,0,0
n242,0,0
n243,100,-10
n244,100,-10
n245,0,0
n246,100,-10
n247,0,0
n248,0,0
n249,0,0
n25,100,-10
n250,0,0
n251,0,0
n252,100,-10
n253,100,-10
n254,0,0
n255,0,0
n256,100,-10
n257,0,0
n258,0,0
n259,0,0
n26,0,0
n260,0,0
n261,0,0
n262,0,0
n263,100,-10
n264,100,-10
n265,0,0
n266,0,0
n267,0,0
n268,0,0
n269,0,0
n27,0,100
n270,0,0
n271,0,0
n272,0,0
n273,0,0
n274,0,0
n275,100,-10
n276,0,0
n277,0,0
n278,100,-10
n279,100,-10
n28,0,0
n280,0,0
n281,100,-10
n282,0,0
n283,0,0
n284,0,0
n285,100,-10
n286,0,0
n287,0,0
n288,100,-10
n289,100,-10
n29,0,0
n290,0,0
n291,0,0
n292,0,0
n293,0,0
n294,0,0
n295,0,0
n296,100,-10
n297,0,0
n298,100,-10
n299,0,0
n3,0,0
n30,100,-10
n300,0,0
n301,100,-10
n31,0,0
n32,0,0
n33,0,0
n34,0,0
n35,100,-10
n36,0,0
n37,0,0
n38,0,0
n39,0,0
n4,100,-10
n40,0,0
n41,0,0
n42,0,0
n43,100,-10
n44,0,0
n45,100,-10
n46,0,0
n47,0,0
n48,0,0
n49,100,-10
n5,0,0
n50,0,0
n51,0,0
n52,0,0
n53,100,-10
n54,100,-10
n55,100,-10
n56,0,100
n57,0,0
n58,0,0
n59,0,0
n6,0,0
n60,100,-10
n61,0,100
n62,100,-10
n63,0,0
n64,0,0
n65,0,0
n66,100,-10
n67,0,0
n68,100,-10
n69,100,-10
n7,100,-10
n70,0,100
n71,0,0
n72,0,0
n73,0,0
n74,0,0
n75,0,0
n76,100,-10
n77,0,0
n78,100,-10
n79,100,-10
n8,0,0
n80,0,0
n81,100,-10
n82,100,-10
n83,0,0
n84,0,0
n85,0,0
n86,100,-10
n87,0,0
n88,0,0
n89,0,0
n9,0,0
n90,0,0
n91,0,0
n92,100,-10
n93,0,0
n94,0,0
n95,0,100
n96,0,100
n97,100,-10
n98,0,0
n99,0,0
